relative_path,size_bytes,line_count,sha256,sha256_status,jsonl_rows,malformed_jsonl_rows,schema_counts,is_symlink,status
run_lifecycle_guard_20260707T101346Z/commands/cargo_build_release_ghost_launcher.log,137446,3115,0cebb89af43ceecb255b38d3afc90301d7288bb4c5f53fc8b1d1a766cb458369,OK,0,0,{},False,OK
run_lifecycle_guard_20260707T101346Z/commands/preflight.log,140627,3136,826de95948d3f64435f8a2473825ca0d324c465c2615a817c973ad900ba08e27,OK,0,0,{},False,OK
run_lifecycle_guard_20260707T101346Z/event_canary/RUN_LIFECYCLE_CANARY_PROOF.json,3083,86,a1f8734435e7ba9e1a74b730481f6298a99ba047d75a9dd942eeae3b6ee08f9c,OK,0,0,{},False,OK
run_lifecycle_guard_20260707T101346Z/event_canary/RUN_LIFECYCLE_CANARY_PROOF.md,907,33,0ee093e924c7fc5ce6029fb1ceef58e7d6487217aace52f45a63e6df2cfaf515,OK,0,0,{},False,OK
run_lifecycle_guard_20260707T101346Z/runtime.log,2947135831,9111064,bcf37e155e343479aa2b1b7f6ac6a147d2ff34d4ffb25a6a7837116b5ec18088,OK,0,0,{},False,OK
run_lifecycle_guard_20260707T101346Z/static_guard/RESTORE_LIFECYCLE_GUARD.md,776,41,e10b1525c316dfe6537c8a13d2303217e75851edd94a25833efe2b9d919aa0ae,OK,0,0,{},False,OK
run_lifecycle_guard_20260707T101346Z/static_guard/commands/test_01.log,136693,3063,2b85d64919fcc5c3fa2ac2041eea1790a7f48b2539054cd7bd57698996d71c06,OK,0,0,{},False,OK
run_lifecycle_guard_20260707T101346Z/static_guard/commands/test_02.log,136691,3063,fca0b462f7cbb4fc2fe3b7858f10cf1ccfa8bcc363cea8abff2adf8f80f52954,OK,0,0,{},False,OK
run_lifecycle_guard_20260707T101346Z/static_guard/commands/test_03.log,136691,3063,6c5f8d672d6f7e836e60acb704b70a28b28c96f73f90822bbef6123ff7b743e5,OK,0,0,{},False,OK
run_lifecycle_guard_20260707T101346Z/static_guard/commands/test_04.log,136691,3063,6c5f8d672d6f7e836e60acb704b70a28b28c96f73f90822bbef6123ff7b743e5,OK,0,0,{},False,OK
run_lifecycle_guard_20260707T101346Z/static_guard/commands/test_05.log,136691,3063,6c5f8d672d6f7e836e60acb704b70a28b28c96f73f90822bbef6123ff7b743e5,OK,0,0,{},False,OK
run_lifecycle_guard_20260707T101346Z/static_guard/commands/test_06.log,136691,3063,6c5f8d672d6f7e836e60acb704b70a28b28c96f73f90822bbef6123ff7b743e5,OK,0,0,{},False,OK
run_lifecycle_guard_20260707T101346Z/static_guard/commands/test_07.log,136691,3063,601a73055a5cc4e1080cbe7d9ae5b39377e72d3939cf048298bc8c972979dc9c,OK,0,0,{},False,OK
run_lifecycle_guard_20260707T101346Z/static_guard/commands/test_08.log,156613,3614,9aeb61fb9d7b00489336c608e37fba173218d195a92719ffa1011b6c84935607,OK,0,0,{},False,OK
run_lifecycle_guard_20260707T101346Z/static_guard/restore_lifecycle_guard_v1.json,5953,171,91069dd8ac4bf00a7bfe3964b4c4b5bda2aa9a35c9a90818bcc1fad63077873f,OK,0,0,{},False,OK
shadow_lifecycle_v2.jsonl,1560926108,305243,ac88c742559fc52629d266c8e8f3e76a2e558552708c6827fd0de8ed8c83e237,OK,305243,0,"{""shadow_lifecycle_v2"": 305243}",False,OK
shadow_path_density_v2.jsonl,123251886,6920,855cdbc00e73d051b0dfac8ce809d2b12e23a5bc55a23f034c6cbf6d6d153c5e,OK,6920,0,"{""shadow_path_density_v2"": 6920}",False,OK
shadow_position_event_v2.jsonl,1843057577,305243,608a3902fa8b3e5670bd22e959ba90fbe90f6aeea9334fe013492ecb414d084b,OK,305243,0,"{""shadow_position_event_v2"": 305243}",False,OK
shadow_replay_v2.jsonl,1877013441,305243,0aa4b42826f1641f3a526f85251243298954d504b7abe231b327f42b2dab14fc,OK,305243,0,"{""shadow_replay_v2"": 305243}",False,OK
shadow_source_ref_manifest_v2.jsonl,487803424,305243,427d128e344c3ca4651f479df9fd5acbc2ecac58819fcb4e887a658f5d5ebd94,OK,305243,0,"{""shadow_source_ref_manifest_v2"": 305243}",False,OK
