view,mask_name,target_bps,stop_bps,max_hold_ms,bucket_dimension,bucket_value,total_actions,beneficial_exit_count,harmful_exit_count,neutral_exit_count,exit_action_precision,exit_action_precision_wilson95_lower,saved_stop_count,timeout_improved_count,target_cut_count,target_cut_damage_bps,gross_saved_damage_bps,target_cut_damage_ratio,delta_sum_bps,delta_avg_bps,delta_median_bps,max_consecutive_harmful_actions
train_selected,M7_CLASS_RESTRICTED,10000,-6000,60000,pre_entry_organicity_buckets,missing evidence: field unavailable,3532,1042,418,2072,0.7136986301369863,0.6899746900640238,58,984,14,141562,1157771,0.12227115724957699,498371,141.10164212910533,0.0,3
train_selected,M7_CLASS_RESTRICTED,10000,-6000,60000,execution_toxicity_buckets,missing evidence: field unavailable,3532,1042,418,2072,0.7136986301369863,0.6899746900640238,58,984,14,141562,1157771,0.12227115724957699,498371,141.10164212910533,0.0,3
train_selected,M7_CLASS_RESTRICTED,10000,-6000,60000,chronological_tercile,holdout,1186,391,140,655,0.736346516007533,0.6972687658528305,18,373,2,20678,404120,0.051167969909927745,185699,156.57588532883642,0.0,3
train_selected,M7_CLASS_RESTRICTED,10000,-6000,60000,chronological_tercile,train,1160,307,119,734,0.7206572769953051,0.6762237279122689,19,288,5,50468,354158,0.14250136944527583,157430,135.7155172413793,0.0,3
train_selected,M7_CLASS_RESTRICTED,10000,-6000,60000,chronological_tercile,validation,1186,344,159,683,0.68389662027833,0.6420005808117624,21,323,7,70416,399493,0.17626341387708921,155242,130.89544688026982,0.0,3
full_grid_diagnostic_best,M7_CLASS_RESTRICTED,3000,-6000,120000,candidate_class,no_progress_with_volume_candidate,288,157,83,48,0.6541666666666667,0.5919888820581466,18,139,43,107901,340228,0.31714320984751404,194317,674.7118055555555,8.5,4
full_grid_diagnostic_best,M7_CLASS_RESTRICTED,3000,-6000,120000,candidate_class,weak_no_progress_candidate,3229,1117,345,1767,0.7640218878248974,0.7415822821629406,56,1061,135,428604,1042348,0.4111908882638044,443584,137.37503871167544,0.0,3
full_grid_diagnostic_best,M7_CLASS_RESTRICTED,3000,-6000,120000,candidate_age_ms_bucket,000000-015000ms,3303,1181,348,1774,0.7724002616088947,0.7507167842725917,59,1122,138,428848,1193760,0.35924138855381316,611256,185.06085376930065,0.0,5
full_grid_diagnostic_best,M7_CLASS_RESTRICTED,3000,-6000,120000,candidate_age_ms_bucket,015001-030000ms,142,64,39,39,0.6213592233009708,0.524918720000224,8,56,23,67698,124467,0.5439032032586951,35141,247.4718309859155,0.0,3
full_grid_diagnostic_best,M7_CLASS_RESTRICTED,3000,-6000,120000,candidate_age_ms_bucket,030001-060000ms,59,25,32,2,0.43859649122807015,0.317726968997944,7,18,15,37194,58240,0.6386332417582418,1010,17.11864406779661,-312.0,4
full_grid_diagnostic_best,M7_CLASS_RESTRICTED,3000,-6000,120000,candidate_age_ms_bucket,060001-120000ms,13,4,9,0,0.3076923076923077,0.12680703655710512,0,4,2,2765,6109,0.4526109019479457,-9506,-731.2307692307693,-1215.0,4
full_grid_diagnostic_best,M7_CLASS_RESTRICTED,3000,-6000,120000,candidate_pnl_bps_bucket,-2999..-1000bps,204,116,66,22,0.6373626373626373,0.5653445528089827,16,100,23,110781,229143,0.4834579280187481,56893,278.8872549019608,152.0,4
full_grid_diagnostic_best,M7_CLASS_RESTRICTED,3000,-6000,120000,candidate_pnl_bps_bucket,-5999..-3000bps,94,56,21,17,0.7272727272727273,0.6187910782504654,21,35,6,38862,51241,0.7584161120977342,-5357,-56.98936170212766,54.0,3
full_grid_diagnostic_best,M7_CLASS_RESTRICTED,3000,-6000,120000,candidate_pnl_bps_bucket,-999..0bps,2981,975,235,1771,0.8057851239669421,0.7825418647251766,22,953,72,234873,714245,0.32884094393380425,381243,127.8909761824891,0.0,3
full_grid_diagnostic_best,M7_CLASS_RESTRICTED,3000,-6000,120000,candidate_pnl_bps_bucket,1..300bps,76,44,27,5,0.6197183098591549,0.5034185628665777,4,40,14,39572,111847,0.3538047511332445,54456,716.5263157894736,262.5,6
full_grid_diagnostic_best,M7_CLASS_RESTRICTED,3000,-6000,120000,candidate_pnl_bps_bucket,1001..3000bps,70,30,40,0,0.42857142857142855,0.3193530887999687,4,26,36,49358,102241,0.4827613188446905,51529,736.1285714285714,-381.5,5
full_grid_diagnostic_best,M7_CLASS_RESTRICTED,3000,-6000,120000,candidate_pnl_bps_bucket,301..1000bps,92,53,39,0,0.5760869565217391,0.47405442023641464,7,46,27,63059,173859,0.36270195963395624,99137,1077.5760869565217,685.5,7
full_grid_diagnostic_best,M7_CLASS_RESTRICTED,3000,-6000,120000,candidate_window_count_before_action_bucket,3,3517,1274,428,1815,0.7485311398354877,0.7273753041086269,74,1200,178,536505,1382576,0.3880473840136094,637901,181.3764572078476,0.0,4
full_grid_diagnostic_best,M7_CLASS_RESTRICTED,3000,-6000,120000,pre_entry_overextension_buckets,missing evidence: field unavailable,3517,1274,428,1815,0.7485311398354877,0.7273753041086269,74,1200,178,536505,1382576,0.3880473840136094,637901,181.3764572078476,0.0,4
full_grid_diagnostic_best,M7_CLASS_RESTRICTED,3000,-6000,120000,pre_entry_organicity_buckets,missing evidence: field unavailable,3517,1274,428,1815,0.7485311398354877,0.7273753041086269,74,1200,178,536505,1382576,0.3880473840136094,637901,181.3764572078476,0.0,4
