mask_name,target_bps,stop_bps,max_hold_ms,paired_delta_cost0,paired_delta_sum_cost0,paired_delta_avg_cost0,paired_delta_median_cost0,absolute_baseline_pnl_cost0,absolute_tsv2_pnl_cost0,paired_delta_cost50,paired_delta_sum_cost50,paired_delta_avg_cost50,paired_delta_median_cost50,absolute_baseline_pnl_cost50,absolute_tsv2_pnl_cost50,paired_delta_cost100,paired_delta_sum_cost100,paired_delta_avg_cost100,paired_delta_median_cost100,absolute_baseline_pnl_cost100,absolute_tsv2_pnl_cost100,paired_delta_cost150,paired_delta_sum_cost150,paired_delta_avg_cost150,paired_delta_median_cost150,absolute_baseline_pnl_cost150,absolute_tsv2_pnl_cost150,paired_delta_cost200,paired_delta_sum_cost200,paired_delta_avg_cost200,paired_delta_median_cost200,absolute_baseline_pnl_cost200,absolute_tsv2_pnl_cost200
M0_ALL,1000,-1000,30000,65469,65469,17.907275711159738,0.0,-616262,-550793,65469,65469,17.907275711159738,0.0,-799062,-733593,65469,65469,17.907275711159738,0.0,-981862,-916393,65469,65469,17.907275711159738,0.0,-1164662,-1099193,65469,65469,17.907275711159738,0.0,-1347462,-1281993
M0_ALL,1000,-1000,60000,98343,98343,26.899070021881837,0.0,-647358,-549015,98343,98343,26.899070021881837,0.0,-830158,-731815,98343,98343,26.899070021881837,0.0,-1012958,-914615,98343,98343,26.899070021881837,0.0,-1195758,-1097415,98343,98343,26.899070021881837,0.0,-1378558,-1280215
M0_ALL,1000,-1000,120000,165053,165053,45.145787746170676,0.0,-714068,-549015,165053,165053,45.145787746170676,0.0,-896868,-731815,165053,165053,45.145787746170676,0.0,-1079668,-914615,165053,165053,45.145787746170676,0.0,-1262468,-1097415,165053,165053,45.145787746170676,0.0,-1445268,-1280215
M0_ALL,1000,-700,30000,33473,33473,9.155634573304157,0.0,-484713,-451240,33473,33473,9.155634573304157,0.0,-667513,-634040,33473,33473,9.155634573304157,0.0,-850313,-816840,33473,33473,9.155634573304157,0.0,-1033113,-999640,33473,33473,9.155634573304157,0.0,-1215913,-1182440
M0_ALL,1000,-700,60000,49532,49532,13.548140043763675,0.0,-501276,-451744,49532,49532,13.548140043763675,0.0,-684076,-634544,49532,49532,13.548140043763675,0.0,-866876,-817344,49532,49532,13.548140043763675,0.0,-1049676,-1000144,49532,49532,13.548140043763675,0.0,-1232476,-1182944
M0_ALL,1000,-700,120000,102204,102204,27.955142231947484,0.0,-553948,-451744,102204,102204,27.955142231947484,0.0,-736748,-634544,102204,102204,27.955142231947484,0.0,-919548,-817344,102204,102204,27.955142231947484,0.0,-1102348,-1000144,102204,102204,27.955142231947484,0.0,-1285148,-1182944
M0_ALL,1000,-500,30000,19830,19830,5.423960612691466,0.0,-385927,-366097,19830,19830,5.423960612691466,0.0,-568727,-548897,19830,19830,5.423960612691466,0.0,-751527,-731697,19830,19830,5.423960612691466,0.0,-934327,-914497,19830,19830,5.423960612691466,0.0,-1117127,-1097297
M0_ALL,1000,-500,60000,25447,25447,6.960339168490153,0.0,-391170,-365723,25447,25447,6.960339168490153,0.0,-573970,-548523,25447,25447,6.960339168490153,0.0,-756770,-731323,25447,25447,6.960339168490153,0.0,-939570,-914123,25447,25447,6.960339168490153,0.0,-1122370,-1096923
M0_ALL,1000,-500,120000,66158,66158,18.095733041575492,0.0,-431881,-365723,66158,66158,18.095733041575492,0.0,-614681,-548523,66158,66158,18.095733041575492,0.0,-797481,-731323,66158,66158,18.095733041575492,0.0,-980281,-914123,66158,66158,18.095733041575492,0.0,-1163081,-1096923
M0_ALL,1000,-300,30000,-4681,-4681,-1.2803610503282277,0.0,-266617,-271298,-4681,-4681,-1.2803610503282277,0.0,-449417,-454098,-4681,-4681,-1.2803610503282277,0.0,-632217,-636898,-4681,-4681,-1.2803610503282277,0.0,-815017,-819698,-4681,-4681,-1.2803610503282277,0.0,-997817,-1002498
M0_ALL,1000,-300,60000,-10176,-10176,-2.7833698030634575,0.0,-262739,-272915,-10176,-10176,-2.7833698030634575,0.0,-445539,-455715,-10176,-10176,-2.7833698030634575,0.0,-628339,-638515,-10176,-10176,-2.7833698030634575,0.0,-811139,-821315,-10176,-10176,-2.7833698030634575,0.0,-993939,-1004115
M0_ALL,1000,-300,120000,5945,5945,1.62609409190372,0.0,-278860,-272915,5945,5945,1.62609409190372,0.0,-461660,-455715,5945,5945,1.62609409190372,0.0,-644460,-638515,5945,5945,1.62609409190372,0.0,-827260,-821315,5945,5945,1.62609409190372,0.0,-1010060,-1004115
M0_ALL,1000,-200,30000,-23871,-23871,-6.5292669584245075,0.0,-192313,-216184,-23871,-23871,-6.5292669584245075,0.0,-375113,-398984,-23871,-23871,-6.5292669584245075,0.0,-557913,-581784,-23871,-23871,-6.5292669584245075,0.0,-740713,-764584,-23871,-23871,-6.5292669584245075,0.0,-923513,-947384
M0_ALL,1000,-200,60000,-39298,-39298,-10.74890590809628,0.0,-178101,-217399,-39298,-39298,-10.74890590809628,0.0,-360901,-400199,-39298,-39298,-10.74890590809628,0.0,-543701,-582999,-39298,-39298,-10.74890590809628,0.0,-726501,-765799,-39298,-39298,-10.74890590809628,0.0,-909301,-948599
M0_ALL,1000,-200,120000,-36782,-36782,-10.060722100656456,0.0,-180617,-217399,-36782,-36782,-10.060722100656456,0.0,-363417,-400199,-36782,-36782,-10.060722100656456,0.0,-546217,-582999,-36782,-36782,-10.060722100656456,0.0,-729017,-765799,-36782,-36782,-10.060722100656456,0.0,-911817,-948599
M0_ALL,1500,-6000,30000,276930,276930,75.74671772428884,0.0,-1327813,-1050883,276930,276930,75.74671772428884,0.0,-1510613,-1233683,276930,276930,75.74671772428884,0.0,-1693413,-1416483,276930,276930,75.74671772428884,0.0,-1876213,-1599283,276930,276930,75.74671772428884,0.0,-2059013,-1782083
M0_ALL,1500,-6000,60000,469745,469745,128.48605032822758,0.0,-1515337,-1045592,469745,469745,128.48605032822758,0.0,-1698137,-1228392,469745,469745,128.48605032822758,0.0,-1880937,-1411192,469745,469745,128.48605032822758,0.0,-2063737,-1593992,469745,469745,128.48605032822758,0.0,-2246537,-1776792
M0_ALL,1500,-6000,120000,616381,616381,168.59436542669584,0.0,-1665000,-1048619,616381,616381,168.59436542669584,0.0,-1847800,-1231419,616381,616381,168.59436542669584,0.0,-2030600,-1414219,616381,616381,168.59436542669584,0.0,-2213400,-1597019,616381,616381,168.59436542669584,0.0,-2396200,-1779819
M0_ALL,1500,-5000,30000,251435,251435,68.77324945295405,0.0,-1263117,-1011682,251435,251435,68.77324945295405,0.0,-1445917,-1194482,251435,251435,68.77324945295405,0.0,-1628717,-1377282,251435,251435,68.77324945295405,0.0,-1811517,-1560082,251435,251435,68.77324945295405,0.0,-1994317,-1742882
M0_ALL,1500,-5000,60000,442479,442479,121.02817286652079,0.0,-1450577,-1008098,442479,442479,121.02817286652079,0.0,-1633377,-1190898,442479,442479,121.02817286652079,0.0,-1816177,-1373698,442479,442479,121.02817286652079,0.0,-1998977,-1556498,442479,442479,121.02817286652079,0.0,-2181777,-1739298
M0_ALL,1500,-5000,120000,585965,585965,160.27489059080963,0.0,-1595103,-1009138,585965,585965,160.27489059080963,0.0,-1777903,-1191938,585965,585965,160.27489059080963,0.0,-1960703,-1374738,585965,585965,160.27489059080963,0.0,-2143503,-1557538,585965,585965,160.27489059080963,0.0,-2326303,-1740338
M0_ALL,1500,-3000,30000,172536,172536,47.1925601750547,0.0,-1055149,-882613,172536,172536,47.1925601750547,0.0,-1237949,-1065413,172536,172536,47.1925601750547,0.0,-1420749,-1248213,172536,172536,47.1925601750547,0.0,-1603549,-1431013,172536,172536,47.1925601750547,0.0,-1786349,-1613813
