metric,value,notes
density_audit_verdict,L2_F_DENSITY_RETENTION_PASS,aggregate
declared_supported_horizons_ms,"[2000, 3000, 10000, 30000, 120000]",aggregate
unsupported_horizons_ms,"[300000, 500000]",aggregate
retention_contract_ms,121000,aggregate
required_replay_coverage_ms,121000,aggregate
required_replay_horizon_ms,121000,aggregate
pass_verdict,L2_F_DENSITY_RETENTION_PASS,aggregate
retention_margin_ms,1000,aggregate
density_rows_input,1186315,aggregate
density_rows_candidate_scope,1087926,aggregate
position_scope_jsonl,reports/selector/shadow-v2-l2-f-collection-20260705-r16/l2_f_evidence_complete_position_scope_v1.jsonl,aggregate
position_scope_filter_present,True,aggregate
position_scope_position_count,750,aggregate
density_rows_excluded_outside_position_scope,98382,aggregate
excluded_validation_smoke_density_rows,7,aggregate
density_rows_evaluated,5250,aggregate
latest_density_per_position_horizon,True,aggregate
density_rows,5250,aggregate
malformed_density_rows,0,aggregate
unknown_horizon_rows,0,aggregate
declared_horizon_present_count,5,aggregate
declared_horizon_missing_count,0,aggregate
declared_horizon_density_blocker_count,0,aggregate
declared_horizon_path_coverage_blocker_count,0,aggregate
declared_horizon_retention_blocker_count,0,aggregate
density_contract_fixture_pass,False,aggregate
runtime_harness_density_emission_proof,False,aggregate
density_derivation_from_canonical_rows,False,aggregate
live_runtime_density_emission_proof,False,aggregate
pr55_contract_fixture_verdict,,aggregate
pr55_runtime_density_verdict,,aggregate
density_fixture_l2_f_allowed_next,False,aggregate
runtime_density_emission_proof,False,aggregate
next_stage,,aggregate
l2_f_allowed_next,True,aggregate
runtime_approval,False,aggregate
research_grade,False,aggregate
live_equivalence,False,aggregate
strategy_research_unblocked,False,aggregate
shadow_close_only,False,aggregate
active_close,False,aggregate
horizon_2000_horizon_ms,2000,horizon_ms=2000;scope=DECLARED_L2_BASELINE
horizon_2000_eligible_positions,750,horizon_ms=2000;scope=DECLARED_L2_BASELINE
horizon_2000_evaluable_positions,750,horizon_ms=2000;scope=DECLARED_L2_BASELINE
horizon_2000_coverage_ratio,1.0,horizon_ms=2000;scope=DECLARED_L2_BASELINE
horizon_2000_samples_per_position_p50,103.0,horizon_ms=2000;scope=DECLARED_L2_BASELINE
horizon_2000_samples_per_position_p90,106.0,horizon_ms=2000;scope=DECLARED_L2_BASELINE
horizon_2000_max_gap_ms_p90,1795.1999999999998,horizon_ms=2000;scope=DECLARED_L2_BASELINE
horizon_2000_max_gap_ms_max,1998,horizon_ms=2000;scope=DECLARED_L2_BASELINE
horizon_2000_duplicate_sample_count,1481,horizon_ms=2000;scope=DECLARED_L2_BASELINE
horizon_2000_non_monotonic_sample_count,0,horizon_ms=2000;scope=DECLARED_L2_BASELINE
horizon_2000_censored_count,0,horizon_ms=2000;scope=DECLARED_L2_BASELINE
horizon_2000_horizon_unmatured_count,0,horizon_ms=2000;scope=DECLARED_L2_BASELINE
horizon_2000_retention_gap_count,0,horizon_ms=2000;scope=DECLARED_L2_BASELINE
