cecha,A_mediana,A_std,B_mediana,B_std,ks_stat,p_value,istotna_p05
current_market_cap_sol,38.336498796,54.898287154781386,27.959011847,25.342715211212166,0.4262295081967213,5.755911968338108e-70,True
bonding_progress_pct,43.0,22.327225615662854,35.0,19.784150901084928,0.4203747072599532,5.254784222501972e-68,True
sol_buy_ratio,0.5980627391883824,0.1277008404832978,0.5106577573683858,0.15205752170531506,0.41217798594847777,2.590412491769179e-65,True
price_change_ratio,1.0910492417574986,1.4735365592748038,0.8459962764637886,0.7097961702388265,0.39344262295081966,2.2073820895837122e-59,True
dev_tx_ratio,0.058823529411764705,0.1292786760777339,0.14285714285714285,0.309530549730921,0.373536299765808,2.031654102619913e-53,True
dev_volume_ratio,0.17959030338178167,0.21411055084788302,0.3779122900740241,0.32093868700483635,0.33489461358313816,8.232059401021134e-43,True
buy_ratio,0.6120048019207683,0.12333974920398826,0.5263157894736842,0.1718710636720334,0.3325526932084309,3.295717278651343e-42,True
buy_count,21.0,37.47936500588377,7.0,21.96814764664051,0.32786885245901637,5.11832922128915e-41,True
max_consecutive_buys_observed,6.0,5.90419201963845,3.0,9.343737463987642,0.31381733021077285,1.4913791146497839e-37,True
burst_ratio,0.29019945826151194,0.20587462036916265,0.5,0.29502063482613766,0.30308864682346953,3.13934302159393e-34,True
flipper_presence_ratio,0.3474955277280859,0.1956430273101088,0.45454545454545453,0.2687998027472337,0.2625830707723265,1.4814142825898946e-08,True
tas_buy_ratio_score,1.0,0.30004990342581667,0.8264462809917354,0.4099683071401955,0.2567683599978972,3.66746979785854e-15,True
sell_buy_ratio,0.5,0.3803700858234703,0.6666666666666666,0.726525406450595,0.23570699301276635,2.7138313107625124e-21,True
volume_gini,0.5389834466275907,0.1944787014012585,0.4388859957338041,0.23579350318978562,0.2196859316820463,4.4891743616344275e-18,True
hhi,0.38832199546485263,0.3177080426970121,0.5085550103305785,0.29100108783592205,0.21957029533522976,4.686773023128461e-18,True
total_volume_sol,9.861258568,49.502264934927865,3.999999999,21.910585855803987,0.21662763466042154,5.859752846330496e-18,True
timing_entropy,2.079122545166457,0.3637887397144882,1.904324704123308,0.5403735703125585,0.21430305973773678,3.2394999009453025e-17,True
top3_volume_pct,0.9388109864817317,0.30082547692219935,0.9998482852636096,0.21535070281245955,0.21325655079904715,4.7394234418945863e-17,True
fee_topology_diversity_index,0.6666666666666666,0.38436714067259076,0.8452380952380952,0.3233705546562073,0.19597016651248844,1.0445124165502128e-13,True
max_single_tx_price_impact_pct_observed,49.107445721922474,54.99334111591286,39.03255382151619,31.121869312146703,0.1920374707259953,3.516565491200064e-14,True
flip_ratio_10s,0.2857142857142857,0.22685196974297672,0.375,0.32554932074749354,0.18546303150722251,2.7186487807890836e-13,True
early_top3_buy_volume_pct_3s,1.0,0.22031181864387983,1.0,0.1633927386566206,0.1731223318365812,1.2960974416833132e-11,True
dev_paperhand_latency_ms,3460.0,2365.0165848563965,3114.5,2695.5971121561474,0.17049626398306914,0.0002530069649597448,True
whale_reversal_ratio_top3,1.664834959400105e-05,0.3433694250154398,0.06329097166224948,0.45565520093033646,0.1683306868624046,4.973833827336705e-11,True
buyer_pre_balance_cv,1.7350133365259068,0.8178507100685652,1.5329333558526472,0.6864184567438434,0.16724923675943543,0.03724351357222349,True
max_tx_per_signer_observed,9.0,13.066952537476018,6.0,11.304422214849575,0.16058997664145794,7.745616768799231e-10,True
fixed_size_buy_ratio_1e4,0.125,0.09901873798351879,0.14285714285714285,0.10123401464327754,0.15583796899041308,1.4664400217910249e-06,True
cpv_other_pool_activity,1.75,1.9721112222473058,2.75,2.3103862638324433,0.14923655905996927,1.3423798079268344e-06,True
volume_cv,1.0909859112873348,0.44618602065153673,1.0150002232626285,0.5750522878981452,0.148711943793911,1.1833533456825547e-08,True
same_ms_tx_ratio,0.0,0.08650358116527936,0.0,0.09884675950859756,0.14493859709984042,4.311624082605687e-08,True
max_single_sell_impact_pct_observed,27.883944023931814,17.327161696805344,28.722453098979514,20.985644505039435,0.14402810304449648,3.8462005704828975e-08,True
fixed_size_buy_ratio,0.14285714285714285,0.11072527184251615,0.16666666666666666,0.11272662398646587,0.1430258018700438,1.3558415978659421e-05,True
demand_elasticity_score,-0.11084043848964677,0.3665006573502227,-0.2,0.47370214134720096,0.14095833235843064,6.861818673804098e-07,True
interval_cv,1.05714672643892,0.5370926985313369,0.8693474896630953,0.6283172861484241,0.14074677952774117,1.1791209253978275e-07,True
block0_sniped_supply_pct,0.061776061718101585,0.13321725860029138,0.03225806451612768,0.08991309961545321,0.1405152224824356,9.079664669047602e-08,True
buyer_hhi,0.7580172413942823,0.2547445012795747,0.8598351375798525,0.2307340036266058,0.13413860915309817,1.9479201113141807e-05,True
tas_overall_score,0.31636047772206766,0.24821423156532116,0.2409090909090909,0.2254795248407603,0.13215343368321447,0.0002550544463666895,True
signer_cross_pool_velocity,0.6666666666666666,0.29749868659862316,0.75,0.2873066717728981,0.13053590560104117,3.767957778324793e-05,True
avg_interval_ms,853.868253968254,2440.6069249122565,944.078125,2794.0216765188716,0.12935659936631283,1.5607262967662409e-06,True
priority_fee_surge_slope,0.0,102104689.17127249,0.0,26082493.22174009,0.12855384135889045,3.098750906610449e-06,True
unique_buyers,1.0,3.217908554756948,1.0,2.0468953713304,0.12060889929742388,7.869310327096626e-06,True
trade_rate,1.0,2.0850355636196296,1.0,1.331806870935988,0.12060889929742388,7.869310327096626e-06,True
jito_tip_intensity,0.42857142857142855,0.3807987075511226,0.6961538461538461,0.36941215055576593,0.11932524452666252,9.70053999635581e-05,True
unique_ratio,0.3668776371308017,0.24930251691643543,0.3394214876033058,0.22589641638042757,0.11929623719327459,1.2731859488493498e-05,True
whale_reversal_ratio_top1,0.0,0.43081815045912464,0.0,0.5025847690861617,0.11720472126744401,1.4258149401027067e-05,True
cu_price_p90_1s,2000000.0,922352558.1147741,2000000.0,238474105.3350644,0.11463923952002493,4.770065276622415e-05,True
rate_unique_signers_per_s_1s_to_3s,0.5,2.2757805534083015,0.5,1.4029055422866585,0.11449656511934092,6.323166026036624e-05,True
delta_unique_signers_1s_to_3s,1.0,4.551561106816603,1.0,2.805811084573317,0.11449656511934092,6.323166026036624e-05,True
tas_momentum_score,0.0,0.4340561914877369,0.0,0.3776446440115753,0.10556714037885293,0.00646886365052635,True
delta_unique_signers_2s_to_3s,0.0,2.732469470608962,0.0,1.8623557137428077,0.10500175980603027,0.0003265538666002547,True
pdd_spike_ratio,0.6876786912245958,1.128996052139061,0.5992087657766174,1.2224309861771128,0.10218865544009673,0.00925863269603715,True
delta_tx_count_2s_to_3s,1.0,3.587129633393651,1.0,3.1901862791298674,0.09969789996480388,0.0007685876513191402,True
sell_share,0.03333333333333333,0.21696131302810204,0.25,0.23151334089270784,0.09813648905026327,0.0040948954723783685,True
delta_tx_count_1s_to_3s,3.0,6.294273259901275,2.0,4.297735488529747,0.09614244000364996,0.0013310159266915807,True
spend_fraction_divergence,0.07264726880340416,0.08723571143836151,0.06353676019854654,0.09662898414081575,0.09478015853908639,0.004575306266039728,True
rate_buy_count_per_s_1s_to_3s,0.5,2.388316510866981,0.5,1.7920142395333267,0.09452113722576357,0.0016985990122183152,True
delta_buy_count_1s_to_3s,1.0,4.776633021733962,1.0,3.5840284790666534,0.09452113722576357,0.0016985990122183152,True
delta_price_pct_1s_to_3s,0.0,27.70619476548075,0.0,30.236047936630136,0.09388580674988442,0.0019601609114662483,True
