fold,roc_auc,pr_auc,train_threshold_f1,n_features,n_train,n_test
1,0.8171403166786361,0.7766937359788078,0.49590617418289185,96,1366,342
2,0.8433364112034472,0.8262950226488684,0.5572546720504761,96,1366,342
3,0.853561779692897,0.8120691100611585,0.5591965317726135,96,1366,342
4,0.8222222222222222,0.7782112554750924,0.5476426482200623,96,1367,341
5,0.8081355349157207,0.7557638716633546,0.5235545039176941,96,1367,341
