target_bps,stop_bps,max_hold_ms,total_positions,eligible_positions,baseline_target_count,baseline_stop_count,baseline_timeout_count,baseline_sum_pnl_bps,baseline_avg_pnl_bps,tsv2_target_count,tsv2_stop_count,tsv2_timeout_count,tsv2_exit_count,tsv2_sum_pnl_bps,tsv2_avg_pnl_bps,pnl_delta_sum_bps,pnl_delta_avg_bps,targets_cut_by_tsv2,stops_saved_by_tsv2,timeouts_cut_by_tsv2,beneficial_tsv2_exits,harmful_tsv2_exits,neutral_tsv2_exits,target_cut_rate_over_baseline_targets,beneficial_rate_over_tsv2_exits,harmful_rate_over_tsv2_exits,delta_vs_baseline_sum_pct,tsv2_exit_rate,exact_rows,path_approx_rows,unsupported_rows
1500,-3000,120000,648,625,88,56,504,-180827,-279.054012345679,30,21,6,591,-139655,-215.51697530864197,41172,69.66497461928934,58,35,498,200,100,291,0.6590909090909091,0.338409475465313,0.1692047377326565,22.76872369723548,0.9120370370370371,648,0,0
1500,-2000,30000,648,625,42,50,556,-132873,-205.05092592592592,27,34,10,577,-123260,-190.21604938271605,9613,16.660311958405547,15,16,546,114,71,392,0.35714285714285715,0.1975736568457539,0.12305025996533796,7.23472789806808,0.8904320987654321,648,0,0
1500,-2000,60000,648,625,64,68,516,-125972,-194.40123456790124,29,34,6,579,-121058,-186.8179012345679,4914,8.487046632124352,35,34,510,154,92,333,0.546875,0.2659758203799655,0.15889464594127806,3.900866859302067,0.8935185185185185,648,0,0
1500,-2000,120000,648,625,82,82,484,-141665,-218.61882716049382,29,34,6,579,-121058,-186.8179012345679,20607,35.590673575129536,53,48,478,197,93,289,0.6463414634146342,0.34024179620034545,0.16062176165803108,14.546288779868,0.8935185185185185,648,0,0
1500,-1500,30000,648,625,40,70,538,-118256,-182.49382716049382,26,48,10,564,-108781,-167.8719135802469,9475,16.79964539007092,14,22,528,110,66,388,0.35,0.1950354609929078,0.11702127659574468,8.012278446759574,0.8703703703703703,648,0,0
1500,-1500,60000,648,625,59,82,507,-108768,-167.85185185185185,28,48,6,566,-106579,-164.47376543209876,2189,3.8674911660777385,31,34,501,148,87,331,0.5254237288135594,0.26148409893992935,0.15371024734982333,2.0125404530744335,0.8734567901234568,648,0,0
1500,-1500,120000,648,625,76,95,477,-117878,-181.9104938271605,28,48,6,566,-106579,-164.47376543209876,11299,19.962897526501767,48,47,471,190,88,288,0.631578947368421,0.33568904593639576,0.15547703180212014,9.58533398937885,0.8734567901234568,648,0,0
1500,-1000,30000,648,625,37,97,514,-92623,-142.93672839506172,26,70,8,544,-83319,-128.5787037037037,9304,17.102941176470587,11,27,506,102,59,383,0.2972972972972973,0.1875,0.10845588235294118,10.045021215032984,0.8395061728395061,648,0,0
1500,-1000,60000,648,625,50,114,484,-91750,-141.5895061728395,27,70,6,545,-82132,-126.74691358024691,9618,17.64770642201835,23,44,478,144,75,326,0.46,0.26422018348623855,0.13761467889908258,10.482833787465939,0.8410493827160493,648,0,0
1500,-1000,120000,648,625,66,124,458,-92455,-142.67746913580248,27,70,6,545,-82132,-126.74691358024691,10323,18.941284403669727,39,54,452,181,78,286,0.5909090909090909,0.3321100917431193,0.14311926605504588,11.165431831701909,0.8410493827160493,648,0,0
1500,-700,30000,648,625,32,119,497,-76428,-117.94444444444444,23,86,7,532,-68756,-106.10493827160494,7672,14.421052631578947,9,33,490,102,53,377,0.28125,0.19172932330827067,0.09962406015037593,10.038205893128174,0.8209876543209876,648,0,0
1500,-700,60000,648,625,41,140,467,-75638,-116.7253086419753,23,86,6,533,-69519,-107.2824074074074,6119,11.48030018761726,18,54,461,143,69,321,0.43902439024390244,0.2682926829268293,0.1294559099437148,8.08984901768952,0.8225308641975309,648,0,0
1500,-700,120000,648,625,56,156,436,-76658,-118.29938271604938,23,86,6,533,-69519,-107.2824074074074,7139,13.393996247654783,33,70,430,181,71,281,0.5892857142857143,0.3395872420262664,0.13320825515947468,9.31279188082131,0.8225308641975309,648,0,0
1500,-500,30000,648,625,29,136,483,-57805,-89.20524691358025,22,95,7,524,-52727,-81.36882716049382,5078,9.69083969465649,7,41,476,101,50,373,0.2413793103448276,0.19274809160305342,0.09541984732824428,8.78470720525906,0.808641975308642,648,0,0
1500,-500,60000,648,625,38,163,447,-52390,-80.84876543209876,22,95,6,525,-53490,-82.54629629629629,-1100,-2.0952380952380953,16,68,441,141,66,318,0.42105263157894735,0.26857142857142857,0.12571428571428572,-2.099637335369345,0.8101851851851852,648,0,0
1500,-500,120000,648,625,52,186,410,-51871,-80.04783950617283,22,95,6,525,-53490,-82.54629629629629,-1619,-3.083809523809524,30,91,404,178,68,279,0.5769230769230769,0.33904761904761904,0.1295238095238095,-3.1212045266141004,0.8101851851851852,648,0,0
1500,-300,30000,648,625,27,165,456,-34419,-53.11574074074074,20,118,7,503,-35153,-54.248456790123456,-734,-1.459244532803181,7,47,449,90,47,366,0.25925925925925924,0.17892644135188868,0.09343936381709742,-2.1325430721403875,0.7762345679012346,648,0,0
1500,-300,60000,648,625,34,193,421,-29586,-45.657407407407405,20,118,6,504,-35916,-55.425925925925924,-6330,-12.55952380952381,14,75,415,130,60,314,0.4117647058823529,0.25793650793650796,0.11904761904761904,-21.395254512269315,0.7777777777777778,648,0,0
1500,-300,120000,648,625,47,217,384,-23784,-36.7037037037037,20,118,6,504,-35916,-55.425925925925924,-12132,-24.071428571428573,27,99,378,167,62,275,0.574468085106383,0.33134920634920634,0.12301587301587301,-51.00908173562059,0.7777777777777778,648,0,0
1500,-200,30000,648,625,27,188,433,-18196,-28.080246913580247,20,130,7,491,-23856,-36.81481481481482,-5660,-11.527494908350306,7,58,426,84,45,362,0.25925925925925924,0.1710794297352342,0.09164969450101833,-31.10573752473071,0.7577160493827161,648,0,0
1500,-200,60000,648,625,34,224,390,-10729,-16.557098765432098,20,130,6,492,-24619,-37.992283950617285,-13890,-28.23170731707317,14,94,384,125,56,311,0.4117647058823529,0.2540650406504065,0.11382113821138211,-129.46220523813963,0.7592592592592593,648,0,0
1500,-200,120000,648,625,44,257,347,-5585,-8.618827160493828,20,130,6,492,-24619,-37.992283950617285,-19034,-38.6869918699187,24,127,341,161,57,274,0.5454545454545454,0.32723577235772355,0.11585365853658537,-340.8057296329454,0.7592592592592593,648,0,0
2000,-6000,30000,648,625,32,9,607,-197947,-305.4737654320988,19,4,15,610,-172891,-266.8070987654321,25056,41.075409836065575,13,5,592,133,81,396,0.40625,0.2180327868852459,0.13278688524590163,12.65793368932088,0.941358024691358,648,0,0
2000,-6000,60000,648,625,49,11,588,-224818,-346.94135802469134,21,4,6,617,-171826,-265.16358024691357,52992,85.88654781199352,28,7,582,174,106,337,0.5714285714285714,0.2820097244732577,0.17179902755267423,23.57106637368894,0.9521604938271605,648,0,0
2000,-6000,120000,648,625,70,14,564,-281423,-434.29475308641975,21,4,6,617,-171826,-265.16358024691357,109597,177.62884927066452,49,10,558,223,101,293,0.7,0.36142625607779577,0.16369529983792544,38.943867416664595,0.9521604938271605,648,0,0
2000,-5000,30000,648,625,32,15,601,-187823,-289.8503086419753,19,5,15,609,-168593,-260.17438271604937,19230,31.576354679802957,13,10,586,133,80,396,0.40625,0.21839080459770116,0.13136288998357964,10.23836271383164,0.9398148148148148,648,0,0
2000,-5000,60000,648,625,49,20,579,-212972,-328.6604938271605,21,5,6,616,-167528,-258.5308641975309,45444,73.77272727272727,28,15,573,174,105,337,0.5714285714285714,0.2824675324675325,0.17045454545454544,21.338016265048925,0.9506172839506173,648,0,0
2000,-5000,120000,648,625,70,31,547,-270771,-417.85648148148147,21,5,6,616,-167528,-258.5308641975309,103243,167.60227272727272,49,26,541,224,99,293,0.7,0.36363636363636365,0.16071428571428573,38.12926790535175,0.9506172839506173,648,0,0
2000,-3000,30000,648,625,30,34,584,-160861,-248.2422839506173,19,21,14,594,-139240,-214.87654320987653,21621,36.398989898989896,11,13,570,124,76,394,0.36666666666666664,0.20875420875420875,0.12794612794612795,13.440796712689837,0.9166666666666666,648,0,0
2000,-3000,60000,648,625,47,47,554,-167201,-258.0262345679012,21,22,6,599,-136441,-210.5570987654321,30760,51.35225375626043,26,25,548,163,101,335,0.5531914893617021,0.27212020033388984,0.1686143572621035,18.39701915658399,0.9243827160493827,648,0,0
2000,-3000,120000,648,625,67,64,517,-199261,-307.50154320987656,21,22,6,599,-136441,-210.5570987654321,62820,104.87479131886478,46,42,511,213,95,291,0.6865671641791045,0.3555926544240401,0.15859766277128548,31.52649038196135,0.9243827160493827,648,0,0
2000,-2000,30000,648,625,29,53,566,-133445,-205.93364197530863,18,35,12,583,-120709,-186.27932098765433,12736,21.845626072041167,11,18,554,120,71,392,0.3793103448275862,0.2058319039451115,0.12178387650085763,9.544006894226085,0.8996913580246914,648,0,0
2000,-2000,60000,648,625,44,75,529,-136935,-211.31944444444446,20,35,6,587,-117344,-181.08641975308643,19591,33.3747870528109,24,40,523,163,91,333,0.5454545454545454,0.2776831345826235,0.15502555366269166,14.306787892065579,0.9058641975308642,648,0,0
2000,-2000,120000,648,625,62,93,493,-155170,-239.45987654320987,20,35,6,587,-117344,-181.08641975308643,37826,64.43952299829643,42,58,487,210,88,289,0.6774193548387096,0.3577512776831346,0.14991482112436116,24.377134755429527,0.9058641975308642,648,0,0
2000,-1500,30000,648,625,28,72,548,-114828,-177.2037037037037,17,49,12,570,-106230,-163.9351851851852,8598,15.08421052631579,11,23,536,115,67,388,0.39285714285714285,0.20175438596491227,0.11754385964912281,7.487720764970216,0.8796296296296297,648,0,0
2000,-1500,60000,648,625,42,88,518,-110842,-171.05246913580248,19,49,6,574,-102865,-158.7422839506173,7977,13.897212543554007,23,39,512,156,87,331,0.5476190476190477,0.27177700348432055,0.15156794425087108,7.196730481225528,0.8858024691358025,648,0,0
2000,-1500,120000,648,625,59,105,484,-120528,-186.0,19,49,6,574,-102865,-158.7422839506173,17663,30.77177700348432,40,56,478,201,85,288,0.6779661016949152,0.3501742160278746,0.1480836236933798,14.654686048055224,0.8858024691358025,648,0,0
2000,-1000,30000,648,625,26,99,523,-89316,-137.83333333333334,17,71,10,550,-80268,-123.87037037037037,9048,16.45090909090909,9,28,513,107,60,383,0.34615384615384615,0.19454545454545455,0.10909090909090909,10.130323794169017,0.8487654320987654,648,0,0
2000,-1000,60000,648,625,34,120,494,-94488,-145.8148148148148,18,71,6,553,-78418,-121.01543209876543,16070,29.05967450271248,16,49,488,152,75,326,0.47058823529411764,0.27486437613019893,0.13562386980108498,17.007450681568027,0.8533950617283951,648,0,0
2000,-1000,120000,648,625,50,134,464,-94083,-145.1898148148148,18,71,6,553,-78418,-121.01543209876543,15665,28.32730560578662,32,63,458,192,75,286,0.64,0.3471971066907776,0.13562386980108498,16.65019185187547,0.8533950617283951,648,0,0
2000,-700,30000,648,625,22,121,505,-73707,-113.74537037037037,15,87,8,538,-65591,-101.22067901234568,8116,15.085501858736059,7,34,497,107,54,377,0.3181818181818182,0.19888475836431227,0.10037174721189591,11.011165832281874,0.8302469135802469,648,0,0
2000,-700,60000,648,625,28,146,474,-77157,-119.06944444444444,15,87,6,540,-66354,-102.39814814814815,10803,20.005555555555556,13,59,468,150,69,321,0.4642857142857143,0.2777777777777778,0.12777777777777777,14.001321979859249,0.8333333333333334,648,0,0
2000,-700,120000,648,625,41,165,442,-77586,-119.73148148148148,15,87,6,540,-66354,-102.39814814814815,11232,20.8,26,78,436,191,68,281,0.6341463414634146,0.3537037037037037,0.1259259259259259,14.476838604902948,0.8333333333333334,648,0,0
2000,-500,30000,648,625,21,139,488,-54103,-83.49228395061728,15,96,8,529,-48374,-74.65123456790124,5729,10.829867674858223,6,43,480,106,50,373,0.2857142857142857,0.2003780718336484,0.0945179584120983,10.589061604716928,0.816358024691358,648,0,0
2000,-500,60000,648,625,27,168,453,-50223,-77.50462962962963,15,96,6,531,-49137,-75.82870370370371,1086,2.0451977401129944,12,72,447,147,66,318,0.4444444444444444,0.2768361581920904,0.12429378531073447,2.162355892718476,0.8194444444444444,648,0,0
2000,-500,120000,648,625,38,194,416,-50499,-77.93055555555556,15,96,6,531,-49137,-75.82870370370371,1362,2.5649717514124295,23,98,410,187,65,279,0.6052631578947368,0.352165725047081,0.1224105461393597,2.6970831105566444,0.8194444444444444,648,0,0
2000,-300,30000,648,625,20,167,461,-28817,-44.47067901234568,14,119,8,507,-29240,-45.123456790123456,-423,-0.834319526627219,6,48,453,94,47,366,0.3,0.1854043392504931,0.09270216962524655,-1.4678835409654023,0.7824074074074074,648,0,0
2000,-300,60000,648,625,26,197,425,-24641,-38.026234567901234,14,119,6,509,-30003,-46.300925925925924,-5362,-10.534381139489195,12,78,419,135,60,314,0.46153846153846156,0.26522593320235754,0.11787819253438114,-21.76048049997971,0.7854938271604939,648,0,0
2000,-300,120000,648,625,36,225,387,-19578,-30.212962962962962,14,119,6,509,-30003,-46.300925925925924,-10425,-20.481335952848724,22,106,381,175,59,275,0.6111111111111112,0.343811394891945,0.11591355599214145,-53.24854428440086,0.7854938271604939,648,0,0
2000,-200,30000,648,625,20,191,437,-12298,-18.978395061728396,14,131,8,495,-17843,-27.535493827160494,-5545,-11.202020202020202,6,60,429,88,45,362,0.3,0.17777777777777778,0.09090909090909091,-45.08863229793462,0.7638888888888888,648,0,0
2000,-200,60000,648,625,26,228,394,-5384,-8.308641975308642,14,131,6,497,-18606,-28.712962962962962,-13222,-26.603621730382294,12,97,388,130,56,311,0.46153846153846156,0.26156941649899396,0.11267605633802817,-245.57949479940567,0.7669753086419753,648,0,0
2000,-200,120000,648,625,33,265,350,-2079,-3.2083333333333335,14,131,6,497,-18606,-28.712962962962962,-16527,-33.25352112676056,19,134,344,169,54,274,0.5757575757575758,0.34004024144869216,0.10865191146881288,-794.949494949495,0.7669753086419753,648,0,0
3000,-6000,30000,648,625,20,9,619,-180581,-278.67438271604937,13,4,17,614,-161348,-248.99382716049382,19233,31.324104234527688,7,5,602,136,80,398,0.35,0.22149837133550487,0.13029315960912052,10.65062215847736,0.9475308641975309,648,0,0
3000,-6000,60000,648,625,34,11,603,-216148,-333.5617283950617,16,4,6,622,-158040,-243.88888888888889,58108,93.42122186495178,18,7,597,178,107,337,0.5294117647058824,0.2861736334405145,0.1720257234726688,26.88343172270851,0.9598765432098766,648,0,0
3000,-6000,120000,648,625,53,14,581,-264460,-408.11728395061726,16,4,6,622,-158040,-243.88888888888889,106420,171.09324758842445,37,10,575,229,100,293,0.6981132075471698,0.36816720257234725,0.1607717041800643,40.240490055206834,0.9598765432098766,648,0,0
3000,-5000,30000,648,625,20,15,613,-170457,-263.0509259259259,13,5,17,613,-157050,-242.36111111111111,13407,21.871125611745512,7,10,596,136,79,398,0.35,0.22185970636215335,0.12887438825448613,7.865326739294955,0.9459876543209876,648,0,0
3000,-5000,60000,648,625,34,21,593,-203878,-314.62654320987656,16,5,6,621,-153742,-237.25617283950618,50136,80.73429951690821,18,16,587,178,106,337,0.5294117647058824,0.286634460547504,0.1706924315619968,24.591177076486918,0.9583333333333334,648,0,0
3000,-5000,120000,648,625,53,33,562,-254649,-392.97685185185185,16,5,6,621,-153742,-237.25617283950618,100907,162.49114331723027,37,28,556,230,98,293,0.6981132075471698,0.37037037037037035,0.15780998389694043,39.6259164575553,0.9583333333333334,648,0,0
3000,-3000,30000,648,625,18,34,596,-145495,-224.52932098765433,13,21,16,598,-127697,-197.06327160493828,17798,29.762541806020067,5,13,580,127,75,396,0.2777777777777778,0.21237458193979933,0.1254180602006689,12.232722773978487,0.9228395061728395,648,0,0
3000,-3000,60000,648,625,32,49,567,-157739,-243.4243827160494,16,22,6,604,-122655,-189.28240740740742,35084,58.086092715231786,16,27,561,167,102,335,0.5,0.2764900662251656,0.16887417218543047,22.24180449983834,0.9320987654320988,648,0,0
3000,-3000,120000,648,625,50,68,530,-179881,-277.5941358024691,16,22,6,604,-122655,-189.28240740740742,57226,94.74503311258277,34,46,524,219,94,291,0.68,0.36258278145695366,0.15562913907284767,31.813254318132543,0.9320987654320988,648,0,0
3000,-2000,30000,648,625,17,53,578,-119079,-183.76388888888889,12,35,14,587,-110166,-170.00925925925927,8913,15.183986371379898,5,18,564,123,70,394,0.29411764705882354,0.20954003407155025,0.11925042589437819,7.484946967979241,0.9058641975308642,648,0,0
3000,-2000,60000,648,625,31,78,539,-125459,-193.60956790123456,15,35,6,592,-104558,-161.35493827160494,20901,35.30574324324324,16,43,533,167,92,333,0.5161290322580645,0.28209459459459457,0.1554054054054054,16.65962585386461,0.9135802469135802,648,0,0
3000,-2000,120000,648,625,46,98,504,-133575,-206.13425925925927,15,35,6,592,-104558,-161.35493827160494,29017,49.0152027027027,31,63,498,216,87,289,0.6739130434782609,0.36486486486486486,0.14695945945945946,21.723376380310686,0.9135802469135802,648,0,0
