mask_name,target_bps,stop_bps,max_hold_ms,paired_delta_cost0,paired_delta_sum_cost0,paired_delta_avg_cost0,paired_delta_median_cost0,absolute_baseline_pnl_cost0,absolute_tsv2_pnl_cost0,paired_delta_cost50,paired_delta_sum_cost50,paired_delta_avg_cost50,paired_delta_median_cost50,absolute_baseline_pnl_cost50,absolute_tsv2_pnl_cost50,paired_delta_cost100,paired_delta_sum_cost100,paired_delta_avg_cost100,paired_delta_median_cost100,absolute_baseline_pnl_cost100,absolute_tsv2_pnl_cost100,paired_delta_cost150,paired_delta_sum_cost150,paired_delta_avg_cost150,paired_delta_median_cost150,absolute_baseline_pnl_cost150,absolute_tsv2_pnl_cost150,paired_delta_cost200,paired_delta_sum_cost200,paired_delta_avg_cost200,paired_delta_median_cost200,absolute_baseline_pnl_cost200,absolute_tsv2_pnl_cost200
M0_ALL,1000,-700,30000,24307,24307,5.119418702611626,0.0,-566602,-542295,24307,24307,5.119418702611626,0.0,-804002,-779695,24307,24307,5.119418702611626,0.0,-1041402,-1017095,24307,24307,5.119418702611626,0.0,-1278802,-1254495,24307,24307,5.119418702611626,0.0,-1516202,-1491895
M0_ALL,1000,-700,60000,23266,23266,4.90016849199663,0.0,-564910,-541644,23266,23266,4.90016849199663,0.0,-802310,-779044,23266,23266,4.90016849199663,0.0,-1039710,-1016444,23266,23266,4.90016849199663,0.0,-1277110,-1253844,23266,23266,4.90016849199663,0.0,-1514510,-1491244
M0_ALL,1000,-700,120000,90553,90553,19.071819713563606,0.0,-632197,-541644,90553,90553,19.071819713563606,0.0,-869597,-779044,90553,90553,19.071819713563606,0.0,-1106997,-1016444,90553,90553,19.071819713563606,0.0,-1344397,-1253844,90553,90553,19.071819713563606,0.0,-1581797,-1491244
M0_ALL,1000,-500,30000,4813,4813,1.0136899747262005,0.0,-436516,-431703,4813,4813,1.0136899747262005,0.0,-673916,-669103,4813,4813,1.0136899747262005,0.0,-911316,-906503,4813,4813,1.0136899747262005,0.0,-1148716,-1143903,4813,4813,1.0136899747262005,0.0,-1386116,-1381303
M0_ALL,1000,-500,60000,-8103,-8103,-1.7066133108677337,0.0,-423028,-431131,-8103,-8103,-1.7066133108677337,0.0,-660428,-668531,-8103,-8103,-1.7066133108677337,0.0,-897828,-905931,-8103,-8103,-1.7066133108677337,0.0,-1135228,-1143331,-8103,-8103,-1.7066133108677337,0.0,-1372628,-1380731
M0_ALL,1000,-500,120000,39080,39080,8.23083403538332,0.0,-470211,-431131,39080,39080,8.23083403538332,0.0,-707611,-668531,39080,39080,8.23083403538332,0.0,-945011,-905931,39080,39080,8.23083403538332,0.0,-1182411,-1143331,39080,39080,8.23083403538332,0.0,-1419811,-1380731
M0_ALL,1000,-300,30000,-22199,-22199,-4.675442291491154,0.0,-295099,-317298,-22199,-22199,-4.675442291491154,0.0,-532499,-554698,-22199,-22199,-4.675442291491154,0.0,-769899,-792098,-22199,-22199,-4.675442291491154,0.0,-1007299,-1029498,-22199,-22199,-4.675442291491154,0.0,-1244699,-1266898
M0_ALL,1000,-300,60000,-49368,-49368,-10.397641112047177,0.0,-267875,-317243,-49368,-49368,-10.397641112047177,0.0,-505275,-554643,-49368,-49368,-10.397641112047177,0.0,-742675,-792043,-49368,-49368,-10.397641112047177,0.0,-980075,-1029443,-49368,-49368,-10.397641112047177,0.0,-1217475,-1266843
M0_ALL,1000,-300,120000,-29504,-29504,-6.213984835720304,0.0,-287739,-317243,-29504,-29504,-6.213984835720304,0.0,-525139,-554643,-29504,-29504,-6.213984835720304,0.0,-762539,-792043,-29504,-29504,-6.213984835720304,0.0,-999939,-1029443,-29504,-29504,-6.213984835720304,0.0,-1237339,-1266843
M0_ALL,1000,-200,30000,-36825,-36825,-7.755897219882056,0.0,-206260,-243085,-36825,-36825,-7.755897219882056,0.0,-443660,-480485,-36825,-36825,-7.755897219882056,0.0,-681060,-717885,-36825,-36825,-7.755897219882056,0.0,-918460,-955285,-36825,-36825,-7.755897219882056,0.0,-1155860,-1192685
M0_ALL,1000,-200,60000,-71917,-71917,-15.146798652064026,0.0,-171113,-243030,-71917,-71917,-15.146798652064026,0.0,-408513,-480430,-71917,-71917,-15.146798652064026,0.0,-645913,-717830,-71917,-71917,-15.146798652064026,0.0,-883313,-955230,-71917,-71917,-15.146798652064026,0.0,-1120713,-1192630
M0_ALL,1000,-200,120000,-76082,-76082,-16.024010109519796,0.0,-166948,-243030,-76082,-76082,-16.024010109519796,0.0,-404348,-480430,-76082,-76082,-16.024010109519796,0.0,-641748,-717830,-76082,-76082,-16.024010109519796,0.0,-879148,-955230,-76082,-76082,-16.024010109519796,0.0,-1116548,-1192630
M0_ALL,1500,-6000,30000,192082,192082,40.45534962089301,0.0,-1365608,-1173526,192082,192082,40.45534962089301,0.0,-1603008,-1410926,192082,192082,40.45534962089301,0.0,-1840408,-1648326,192082,192082,40.45534962089301,0.0,-2077808,-1885726,192082,192082,40.45534962089301,0.0,-2315208,-2123126
M0_ALL,1500,-6000,60000,390122,390122,82.16554338668914,0.0,-1565795,-1175673,390122,390122,82.16554338668914,0.0,-1803195,-1413073,390122,390122,82.16554338668914,0.0,-2040595,-1650473,390122,390122,82.16554338668914,0.0,-2277995,-1887873,390122,390122,82.16554338668914,0.0,-2515395,-2125273
M0_ALL,1500,-6000,120000,616817,616817,129.9109098567818,0.0,-1791566,-1174749,616817,616817,129.9109098567818,0.0,-2028966,-1412149,616817,616817,129.9109098567818,0.0,-2266366,-1649549,616817,616817,129.9109098567818,0.0,-2503766,-1886949,616817,616817,129.9109098567818,0.0,-2741166,-2124349
M0_ALL,1500,-5000,30000,184257,184257,38.807287278854254,0.0,-1324625,-1140368,184257,184257,38.807287278854254,0.0,-1562025,-1377768,184257,184257,38.807287278854254,0.0,-1799425,-1615168,184257,184257,38.807287278854254,0.0,-2036825,-1852568,184257,184257,38.807287278854254,0.0,-2274225,-2089968
M0_ALL,1500,-5000,60000,353622,353622,74.47809604043807,0.0,-1496650,-1143028,353622,353622,74.47809604043807,0.0,-1734050,-1380428,353622,353622,74.47809604043807,0.0,-1971450,-1617828,353622,353622,74.47809604043807,0.0,-2208850,-1855228,353622,353622,74.47809604043807,0.0,-2446250,-2092628
M0_ALL,1500,-5000,120000,582747,582747,122.73525695029485,0.0,-1724851,-1142104,582747,582747,122.73525695029485,0.0,-1962251,-1379504,582747,582747,122.73525695029485,0.0,-2199651,-1616904,582747,582747,122.73525695029485,0.0,-2437051,-1854304,582747,582747,122.73525695029485,0.0,-2674451,-2091704
M0_ALL,1500,-3000,30000,118139,118139,24.8818449873631,0.0,-1139071,-1020932,118139,118139,24.8818449873631,0.0,-1376471,-1258332,118139,118139,24.8818449873631,0.0,-1613871,-1495732,118139,118139,24.8818449873631,0.0,-1851271,-1733132,118139,118139,24.8818449873631,0.0,-2088671,-1970532
M0_ALL,1500,-3000,60000,198580,198580,41.82392586352148,0.0,-1214988,-1016408,198580,198580,41.82392586352148,0.0,-1452388,-1253808,198580,198580,41.82392586352148,0.0,-1689788,-1491208,198580,198580,41.82392586352148,0.0,-1927188,-1728608,198580,198580,41.82392586352148,0.0,-2164588,-1966008
M0_ALL,1500,-3000,120000,350287,350287,73.7756950294861,0.0,-1367557,-1017270,350287,350287,73.7756950294861,0.0,-1604957,-1254670,350287,350287,73.7756950294861,0.0,-1842357,-1492070,350287,350287,73.7756950294861,0.0,-2079757,-1729470,350287,350287,73.7756950294861,0.0,-2317157,-1966870
M0_ALL,1500,-2000,30000,54991,54991,11.581929233361416,0.0,-940676,-885685,54991,54991,11.581929233361416,0.0,-1178076,-1123085,54991,54991,11.581929233361416,0.0,-1415476,-1360485,54991,54991,11.581929233361416,0.0,-1652876,-1597885,54991,54991,11.581929233361416,0.0,-1890276,-1835285
M0_ALL,1500,-2000,60000,90208,90208,18.99915754001685,0.0,-967545,-877337,90208,90208,18.99915754001685,0.0,-1204945,-1114737,90208,90208,18.99915754001685,0.0,-1442345,-1352137,90208,90208,18.99915754001685,0.0,-1679745,-1589537,90208,90208,18.99915754001685,0.0,-1917145,-1826937
M0_ALL,1500,-2000,120000,188674,188674,39.73757371524852,0.0,-1066873,-878199,188674,188674,39.73757371524852,0.0,-1304273,-1115599,188674,188674,39.73757371524852,0.0,-1541673,-1352999,188674,188674,39.73757371524852,0.0,-1779073,-1590399,188674,188674,39.73757371524852,0.0,-2016473,-1827799
M0_ALL,1500,-1500,30000,29324,29324,6.176074136478517,0.0,-792691,-763367,29324,29324,6.176074136478517,0.0,-1030091,-1000767,29324,29324,6.176074136478517,0.0,-1267491,-1238167,29324,29324,6.176074136478517,0.0,-1504891,-1475567,29324,29324,6.176074136478517,0.0,-1742291,-1712967
M0_ALL,1500,-1500,60000,33858,33858,7.131002527379949,0.0,-791399,-757541,33858,33858,7.131002527379949,0.0,-1028799,-994941,33858,33858,7.131002527379949,0.0,-1266199,-1232341,33858,33858,7.131002527379949,0.0,-1503599,-1469741,33858,33858,7.131002527379949,0.0,-1740999,-1707141
M0_ALL,1500,-1500,120000,120722,120722,25.42586352148273,0.0,-879125,-758403,120722,120722,25.42586352148273,0.0,-1116525,-995803,120722,120722,25.42586352148273,0.0,-1353925,-1233203,120722,120722,25.42586352148273,0.0,-1591325,-1470603,120722,120722,25.42586352148273,0.0,-1828725,-1708003
