target_bps,stop_bps,max_hold_ms,segment,roundtrip_cost_bps,supported_rows,unsupported_rows,action_taken_count,no_action_count,baseline_target_count,baseline_stop_count,baseline_timeout_count,baseline_sum_after_cost_bps,baseline_avg_after_cost_bps,baseline_median_after_cost_bps,tsv2_sum_after_cost_bps,tsv2_avg_after_cost_bps,tsv2_median_after_cost_bps,delta_sum_bps,delta_avg_bps,delta_median_bps,action_delta_avg_bps,action_delta_median_bps,beneficial_exit_count,harmful_exit_count,neutral_exit_count,exit_action_precision,exit_action_precision_denominator,exit_action_precision_wilson95_lower,saved_stop_count,saved_stop_damage_bps,target_cut_count,target_cut_damage_bps,timeout_improved_count,timeout_improved_bps,generic_beneficial_count,generic_beneficial_bps,gross_saved_damage_bps,harmful_damage_bps,target_cut_damage_guard_pass,target_cut_count_guard_pass,target_cut_count_guard_limit,stale_no_action_exclusions,no_candidate_exclusions,not_active_exit_eligible_exclusions,candidate_after_baseline_exclusions,candidate_after_max_hold_exclusions,ambiguous_unjoined_exclusions,lifecycle_without_exit_replay_exclusions,exact_rows,path_approx_rows,baseline_unavailable_rows,max_consecutive_harmful_actions,classification_counts,exclusion_counts
1500,-1500,30000,validation,100,1026,0,883,143,76,107,843,-260011,-253.42202729044834,-202.0,-251127,-244.76315789473685,-202.0,8884,8.6588693957115,0.0,10.061155152887883,0.0,111,75,697,0.5967741935483871,186,0.5250083636770048,24,26791,24,30678,87,30521,0,0,57312,48428,False,True,32.7,1,24,0,87,31,0,0,1026,0,0,3,"{""cut_target"": 24, ""harmful_exit"": 51, ""neutral_exit"": 697, ""no_active_exit"": 143, ""saved_stop"": 24, ""timeout_improved"": 87}","{""candidate_after_baseline_exit"": 87, ""candidate_after_max_hold"": 31, ""no_candidate"": 24, ""none"": 883, ""stale_data_no_action"": 1}"
1500,-1500,30000,holdout,100,1026,0,884,142,78,107,841,-266254,-259.5068226120858,-202.0,-269726,-262.8908382066277,-202.0,-3472,-3.38401559454191,0.0,-3.927601809954751,0.0,144,82,658,0.6371681415929203,226,0.5726729406876193,27,30512,28,39541,117,29166,0,0,59678,63150,False,True,38.7,1,30,1,77,33,0,0,1026,0,0,2,"{""cut_target"": 28, ""harmful_exit"": 54, ""neutral_exit"": 658, ""no_active_exit"": 142, ""saved_stop"": 27, ""timeout_improved"": 117}","{""candidate_after_baseline_exit"": 77, ""candidate_after_max_hold"": 33, ""no_candidate"": 30, ""none"": 884, ""not_active_exit_eligible"": 1, ""stale_data_no_action"": 1}"
1500,-1500,60000,train,100,1027,0,894,133,103,146,778,-279972,-272.6114897760467,-202.0,-273828,-266.6290165530672,-202.0,6144,5.982473222979552,0.0,6.87248322147651,0.0,224,136,534,0.6222222222222222,360,0.5710974644349645,64,81988,58,86827,160,45643,0,0,127631,121487,False,True,80.0,6,20,0,106,1,0,0,1027,0,0,3,"{""cut_target"": 58, ""harmful_exit"": 78, ""neutral_exit"": 534, ""no_active_exit"": 133, ""saved_stop"": 64, ""timeout_improved"": 160}","{""candidate_after_baseline_exit"": 106, ""candidate_after_max_hold"": 1, ""no_candidate"": 20, ""none"": 894, ""stale_data_no_action"": 6}"
1500,-1500,60000,validation,100,1026,0,888,138,98,127,801,-266454,-259.70175438596493,-202.0,-251706,-245.32748538011697,-202.0,14748,14.374269005847953,0.0,16.60810810810811,0.0,177,99,612,0.6413043478260869,276,0.5831375108648476,43,50944,45,57547,134,40397,0,0,91341,76593,False,True,56.4,1,24,0,109,4,0,0,1026,0,0,2,"{""cut_target"": 45, ""harmful_exit"": 54, ""neutral_exit"": 612, ""no_active_exit"": 138, ""saved_stop"": 43, ""timeout_improved"": 134}","{""candidate_after_baseline_exit"": 109, ""candidate_after_max_hold"": 4, ""no_candidate"": 24, ""none"": 888, ""stale_data_no_action"": 1}"
1500,-1500,60000,holdout,100,1026,0,892,134,106,128,792,-255344,-248.87329434697855,-202.0,-267612,-260.83040935672517,-202.0,-12268,-11.95711500974659,0.0,-13.753363228699552,0.0,201,117,574,0.6320754716981132,318,0.577789976674949,48,53389,54,79270,153,41749,0,0,95138,107406,False,True,63.3,1,30,1,97,5,0,0,1026,0,0,3,"{""cut_target"": 54, ""harmful_exit"": 63, ""neutral_exit"": 574, ""no_active_exit"": 134, ""saved_stop"": 48, ""timeout_improved"": 153}","{""candidate_after_baseline_exit"": 97, ""candidate_after_max_hold"": 5, ""no_candidate"": 30, ""none"": 892, ""not_active_exit_eligible"": 1, ""stale_data_no_action"": 1}"
1500,-1500,120000,train,100,1027,0,894,133,131,162,734,-284575,-277.09347614410905,-202.0,-273828,-266.6290165530672,-202.0,10747,10.46445959104187,0.0,12.021252796420582,0.0,287,142,465,0.668997668997669,429,0.6231410487466187,80,102140,86,130706,207,59218,0,0,161358,150611,False,True,100.7,6,20,0,107,0,0,0,1027,0,0,4,"{""cut_target"": 86, ""harmful_exit"": 56, ""neutral_exit"": 465, ""no_active_exit"": 133, ""saved_stop"": 80, ""timeout_improved"": 207}","{""candidate_after_baseline_exit"": 107, ""no_candidate"": 20, ""none"": 894, ""stale_data_no_action"": 6}"
1500,-1500,120000,validation,100,1026,0,888,138,114,139,773,-287112,-279.8362573099415,-202.0,-251706,-245.32748538011697,-202.0,35406,34.50877192982456,0.0,39.87162162162162,0.0,263,96,529,0.7325905292479109,359,0.684519890345164,55,70303,61,81169,208,59335,0,0,129638,94232,False,True,75.8,1,24,0,113,0,0,0,1026,0,0,2,"{""cut_target"": 61, ""harmful_exit"": 35, ""neutral_exit"": 529, ""no_active_exit"": 138, ""saved_stop"": 55, ""timeout_improved"": 208}","{""candidate_after_baseline_exit"": 113, ""no_candidate"": 24, ""none"": 888, ""stale_data_no_action"": 1}"
1500,-1500,120000,holdout,100,1026,0,892,134,124,147,755,-273682,-266.7465886939571,-202.0,-266989,-260.2231968810916,-202.0,6693,6.523391812865497,0.0,7.503363228699552,0.0,291,115,486,0.7167487684729064,406,0.6710474948881955,67,73190,72,105431,224,62825,0,0,136015,129322,False,True,89.4,1,30,1,101,1,0,0,1026,0,0,3,"{""cut_target"": 72, ""harmful_exit"": 43, ""neutral_exit"": 486, ""no_active_exit"": 134, ""saved_stop"": 67, ""timeout_improved"": 224}","{""candidate_after_baseline_exit"": 101, ""candidate_after_max_hold"": 1, ""no_candidate"": 30, ""none"": 892, ""not_active_exit_eligible"": 1, ""stale_data_no_action"": 1}"
1500,-2000,30000,train,100,1027,0,913,114,78,91,858,-316419,-308.10029211295034,-202.0,-305805,-297.7653359298929,-202.0,10614,10.334956183057448,0.0,11.625410733844468,0.0,173,120,620,0.590443686006826,293,0.533319789600638,31,44868,35,54516,142,56682,0,0,101550,90936,False,True,45.2,6,20,0,67,21,0,0,1027,0,0,4,"{""cut_target"": 35, ""harmful_exit"": 85, ""neutral_exit"": 620, ""no_active_exit"": 114, ""saved_stop"": 31, ""timeout_improved"": 142}","{""candidate_after_baseline_exit"": 67, ""candidate_after_max_hold"": 21, ""no_candidate"": 20, ""none"": 913, ""stale_data_no_action"": 6}"
1500,-2000,30000,validation,100,1026,0,895,131,79,90,857,-294666,-287.19883040935673,-202.0,-272154,-265.2573099415205,-202.0,22512,21.941520467836256,0.0,25.153072625698325,0.0,119,75,701,0.6134020618556701,194,0.5433078773666664,25,35737,24,30678,94,35203,0,0,70940,48428,False,True,34.4,1,24,0,75,31,0,0,1026,0,0,3,"{""cut_target"": 24, ""harmful_exit"": 51, ""neutral_exit"": 701, ""no_active_exit"": 131, ""saved_stop"": 25, ""timeout_improved"": 94}","{""candidate_after_baseline_exit"": 75, ""candidate_after_max_hold"": 31, ""no_candidate"": 24, ""none"": 895, ""stale_data_no_action"": 1}"
1500,-2000,30000,holdout,100,1026,0,895,131,79,95,852,-306997,-299.21734892787526,-202.0,-304130,-296.4230019493177,-202.0,2867,2.794346978557505,0.0,3.2033519553072627,0.0,147,88,660,0.625531914893617,235,0.5620999104987396,27,39158,29,42562,120,31547,0,0,70705,67838,False,True,39.0,1,30,1,66,33,0,0,1026,0,0,2,"{""cut_target"": 29, ""harmful_exit"": 59, ""neutral_exit"": 660, ""no_active_exit"": 131, ""saved_stop"": 27, ""timeout_improved"": 120}","{""candidate_after_baseline_exit"": 66, ""candidate_after_max_hold"": 33, ""no_candidate"": 30, ""none"": 895, ""not_active_exit_eligible"": 1, ""stale_data_no_action"": 1}"
1500,-2000,60000,train,100,1027,0,915,112,111,122,794,-314602,-306.33106134371957,-202.0,-303079,-295.1110029211295,-202.0,11523,11.220058422590068,0.0,12.59344262295082,0.0,231,145,539,0.6143617021276596,376,0.5642418740663436,62,94369,65,105251,169,58443,0,0,152812,141289,False,True,78.9,6,20,0,85,1,0,0,1027,0,0,3,"{""cut_target"": 65, ""harmful_exit"": 80, ""neutral_exit"": 539, ""no_active_exit"": 112, ""saved_stop"": 62, ""timeout_improved"": 169}","{""candidate_after_baseline_exit"": 85, ""candidate_after_max_hold"": 1, ""no_candidate"": 20, ""none"": 915, ""stale_data_no_action"": 6}"
1500,-2000,60000,validation,100,1026,0,901,125,102,112,812,-308739,-300.91520467836256,-202.0,-273477,-266.546783625731,-202.0,35262,34.36842105263158,0.0,39.13651498335183,0.0,186,100,615,0.6503496503496503,286,0.5934225931636765,45,65171,45,57547,141,48655,0,0,113826,78564,False,True,59.1,1,24,0,96,4,0,0,1026,0,0,2,"{""cut_target"": 45, ""harmful_exit"": 55, ""neutral_exit"": 615, ""no_active_exit"": 125, ""saved_stop"": 45, ""timeout_improved"": 141}","{""candidate_after_baseline_exit"": 96, ""candidate_after_max_hold"": 4, ""no_candidate"": 24, ""none"": 901, ""stale_data_no_action"": 1}"
