scope,anchor,guard_name,early_horizon_ms,anchor_target_cut_count,anchor_target_cut_damage_bps,guarded_target_cut_damage_bps,target_cut_damage_reduction_bps,target_cut_damage_reduction_rate,anchor_saved_stop_damage_bps,guarded_saved_stop_damage_bps,saved_stop_damage_retained_rate,anchor_timeout_improved_count,guarded_timeout_improved_count,timeout_improved_count_retained_rate,top5_target_cut_winner_count,top5_target_cut_winners_protected,top5_target_cut_winners_protected_rate,top10_target_cut_winner_count,top10_target_cut_winners_protected,top10_target_cut_winners_protected_rate
shadow-burnin-v3-r49-r48-target60-stop60-exit-replay-timestop-v2-maxwait66000-r1,M0_ALL / 6000 / -6000 / 120000,G4_DELAYED_DECISION_4000,45000,129,727379,656744,70635,0.09710893495687943,426000,391239,0.9184014084507042,1469,1411,0.9605173587474473,7,0,0.0,13,0,0.0
shadow-burnin-v3-r49-r48-target60-stop60-exit-replay-timestop-v2-maxwait66000-r1,M0_ALL / 6000 / -6000 / 120000,G5_DELAYED_DECISION_8000,10000,129,727379,584874,142505,0.19591574681149718,426000,343673,0.806744131455399,1469,1353,0.9210347174948945,7,2,0.2857142857142857,13,3,0.23076923076923078
shadow-burnin-v3-r49-r48-target60-stop60-exit-replay-timestop-v2-maxwait66000-r1,M0_ALL / 6000 / -6000 / 120000,G5_DELAYED_DECISION_8000,20000,129,727379,584874,142505,0.19591574681149718,426000,343673,0.806744131455399,1469,1353,0.9210347174948945,7,2,0.2857142857142857,13,3,0.23076923076923078
shadow-burnin-v3-r49-r48-target60-stop60-exit-replay-timestop-v2-maxwait66000-r1,M0_ALL / 6000 / -6000 / 120000,G5_DELAYED_DECISION_8000,30000,129,727379,584874,142505,0.19591574681149718,426000,343673,0.806744131455399,1469,1353,0.9210347174948945,7,2,0.2857142857142857,13,3,0.23076923076923078
shadow-burnin-v3-r49-r48-target60-stop60-exit-replay-timestop-v2-maxwait66000-r1,M0_ALL / 6000 / -6000 / 120000,G5_DELAYED_DECISION_8000,45000,129,727379,584874,142505,0.19591574681149718,426000,343673,0.806744131455399,1469,1353,0.9210347174948945,7,2,0.2857142857142857,13,3,0.23076923076923078
shadow-burnin-v3-r49-r48-target60-stop60-exit-replay-timestop-v2-maxwait66000-r1,M4_CONFIRM_2_WINDOWS / 10000 / -6000 / 120000,G0_NONE,10000,44,403143,403143,0,0.0,435613,435613,1.0,1422,1422,1.0,3,0,0.0,5,0,0.0
shadow-burnin-v3-r49-r48-target60-stop60-exit-replay-timestop-v2-maxwait66000-r1,M4_CONFIRM_2_WINDOWS / 10000 / -6000 / 120000,G0_NONE,20000,44,403143,403143,0,0.0,435613,435613,1.0,1422,1422,1.0,3,0,0.0,5,0,0.0
shadow-burnin-v3-r49-r48-target60-stop60-exit-replay-timestop-v2-maxwait66000-r1,M4_CONFIRM_2_WINDOWS / 10000 / -6000 / 120000,G0_NONE,30000,44,403143,403143,0,0.0,435613,435613,1.0,1422,1422,1.0,3,0,0.0,5,0,0.0
shadow-burnin-v3-r49-r48-target60-stop60-exit-replay-timestop-v2-maxwait66000-r1,M4_CONFIRM_2_WINDOWS / 10000 / -6000 / 120000,G0_NONE,45000,44,403143,403143,0,0.0,435613,435613,1.0,1422,1422,1.0,3,0,0.0,5,0,0.0
shadow-burnin-v3-r49-r48-target60-stop60-exit-replay-timestop-v2-maxwait66000-r1,M4_CONFIRM_2_WINDOWS / 10000 / -6000 / 120000,G1_STEADY_EARLY_STRENGTH,10000,44,403143,268768,134375,0.3333184502769489,435613,318569,0.731311967273704,1422,1324,0.9310829817158931,3,1,0.3333333333333333,5,1,0.2
shadow-burnin-v3-r49-r48-target60-stop60-exit-replay-timestop-v2-maxwait66000-r1,M4_CONFIRM_2_WINDOWS / 10000 / -6000 / 120000,G1_STEADY_EARLY_STRENGTH,20000,44,403143,265265,137878,0.34200767469607557,435613,350367,0.804307952242013,1422,1315,0.9247538677918424,3,0,0.0,5,0,0.0
shadow-burnin-v3-r49-r48-target60-stop60-exit-replay-timestop-v2-maxwait66000-r1,M4_CONFIRM_2_WINDOWS / 10000 / -6000 / 120000,G1_STEADY_EARLY_STRENGTH,30000,44,403143,265265,137878,0.34200767469607557,435613,357029,0.8196013433942513,1422,1322,0.929676511954993,3,0,0.0,5,0,0.0
shadow-burnin-v3-r49-r48-target60-stop60-exit-replay-timestop-v2-maxwait66000-r1,M4_CONFIRM_2_WINDOWS / 10000 / -6000 / 120000,G1_STEADY_EARLY_STRENGTH,45000,44,403143,265265,137878,0.34200767469607557,435613,356401,0.818159696795091,1422,1324,0.9310829817158931,3,0,0.0,5,0,0.0
shadow-burnin-v3-r49-r48-target60-stop60-exit-replay-timestop-v2-maxwait66000-r1,M4_CONFIRM_2_WINDOWS / 10000 / -6000 / 120000,G2_RECOVERY_AFTER_EARLY_DRAWDOWN,10000,44,403143,368137,35006,0.08683271196572928,435613,419173,0.9622600794742122,1422,1413,0.9936708860759493,3,0,0.0,5,0,0.0
shadow-burnin-v3-r49-r48-target60-stop60-exit-replay-timestop-v2-maxwait66000-r1,M4_CONFIRM_2_WINDOWS / 10000 / -6000 / 120000,G2_RECOVERY_AFTER_EARLY_DRAWDOWN,20000,44,403143,312454,90689,0.22495491674170207,435613,351727,0.8074299894631244,1422,1397,0.9824191279887482,3,1,0.3333333333333333,5,1,0.2
shadow-burnin-v3-r49-r48-target60-stop60-exit-replay-timestop-v2-maxwait66000-r1,M4_CONFIRM_2_WINDOWS / 10000 / -6000 / 120000,G2_RECOVERY_AFTER_EARLY_DRAWDOWN,30000,44,403143,325810,77333,0.19182523322989609,435613,349360,0.8019962673290283,1422,1396,0.9817158931082982,3,0,0.0,5,0,0.0
shadow-burnin-v3-r49-r48-target60-stop60-exit-replay-timestop-v2-maxwait66000-r1,M4_CONFIRM_2_WINDOWS / 10000 / -6000 / 120000,G2_RECOVERY_AFTER_EARLY_DRAWDOWN,45000,44,403143,317539,85604,0.21234152645587298,435613,351683,0.807328982376559,1422,1399,0.9838255977496484,3,0,0.0,5,0,0.0
shadow-burnin-v3-r49-r48-target60-stop60-exit-replay-timestop-v2-maxwait66000-r1,M4_CONFIRM_2_WINDOWS / 10000 / -6000 / 120000,G3_LOW_VOL_CONTINUATION,10000,44,403143,393441,9702,0.024065902173670384,435613,429729,0.9864925977874857,1422,1392,0.9789029535864979,3,0,0.0,5,0,0.0
shadow-burnin-v3-r49-r48-target60-stop60-exit-replay-timestop-v2-maxwait66000-r1,M4_CONFIRM_2_WINDOWS / 10000 / -6000 / 120000,G3_LOW_VOL_CONTINUATION,20000,44,403143,393441,9702,0.024065902173670384,435613,435613,1.0,1422,1393,0.9796061884669479,3,0,0.0,5,0,0.0
