check_type,scope_or_file,row_id,metric,reported_value,recomputed_value,absolute_diff,status,notes
tie_break_sensitivity,shadow-burnin-v3-r50-tsv2-logging-only-target60-stop60-exit-replay-maxwait66000-r1,stop_first_on_equal_timestamp,cost100_sum_pnl_bps,,-1992370.0,,INFO,"{""avg_pnl_bps"": -444.9589715536105, ""cost100_sum_pnl_bps"": -1992370, ""cost200_sum_pnl_bps"": -2357970, ""evaluated_rows"": 3656, ""max_consecutive_losses_cost100"": 65, ""median_pnl_bps"": -108.0, ""negative_timeout_rate"": 0.9247565653585128, ""stop_count"": 135, ""stop_rate"": 0.036925601750547044, ""sum_pnl_bps"": -1626770, ""target_count"": 132, ""target_rate"": 0.036105032822757115, ""timeout_count"": 3389, ""timeout_rate"": 0.9269693654266958, ""top10_removed_sum_cost100"": -2204770, ""top5_removed_sum_cost100"": -2098570}"
tie_break_sensitivity,shadow-burnin-v3-r50-tsv2-logging-only-target60-stop60-exit-replay-maxwait66000-r1,target_first_on_equal_timestamp,cost100_sum_pnl_bps,,-1992370.0,,INFO,"{""avg_pnl_bps"": -444.9589715536105, ""cost100_sum_pnl_bps"": -1992370, ""cost200_sum_pnl_bps"": -2357970, ""evaluated_rows"": 3656, ""max_consecutive_losses_cost100"": 65, ""median_pnl_bps"": -108.0, ""negative_timeout_rate"": 0.9247565653585128, ""stop_count"": 135, ""stop_rate"": 0.036925601750547044, ""sum_pnl_bps"": -1626770, ""target_count"": 132, ""target_rate"": 0.036105032822757115, ""timeout_count"": 3389, ""timeout_rate"": 0.9269693654266958, ""top10_removed_sum_cost100"": -2204770, ""top5_removed_sum_cost100"": -2098570}"
tie_break_sensitivity,shadow-burnin-v3-r50-tsv2-logging-only-target60-stop60-exit-replay-maxwait66000-r1,ambiguous_tie_excluded,cost100_sum_pnl_bps,,-1992370.0,,INFO,"{""avg_pnl_bps"": -444.9589715536105, ""cost100_sum_pnl_bps"": -1992370, ""cost200_sum_pnl_bps"": -2357970, ""evaluated_rows"": 3656, ""max_consecutive_losses_cost100"": 65, ""median_pnl_bps"": -108.0, ""negative_timeout_rate"": 0.9247565653585128, ""stop_count"": 135, ""stop_rate"": 0.036925601750547044, ""sum_pnl_bps"": -1626770, ""target_count"": 132, ""target_rate"": 0.036105032822757115, ""timeout_count"": 3389, ""timeout_rate"": 0.9269693654266958, ""top10_removed_sum_cost100"": -2204770, ""top5_removed_sum_cost100"": -2098570}"
tie_break_sensitivity,shadow-burnin-v3-r50-tsv2-logging-only-target60-stop60-exit-replay-maxwait66000-r1,path_approx_fallback_only,cost100_sum_pnl_bps,,-1992370.0,,INFO,"{""avg_pnl_bps"": -444.9589715536105, ""cost100_sum_pnl_bps"": -1992370, ""cost200_sum_pnl_bps"": -2357970, ""evaluated_rows"": 3656, ""max_consecutive_losses_cost100"": 65, ""median_pnl_bps"": -108.0, ""negative_timeout_rate"": 0.9247565653585128, ""stop_count"": 135, ""stop_rate"": 0.036925601750547044, ""sum_pnl_bps"": -1626770, ""target_count"": 132, ""target_rate"": 0.036105032822757115, ""timeout_count"": 3389, ""timeout_rate"": 0.9269693654266958, ""top10_removed_sum_cost100"": -2204770, ""top5_removed_sum_cost100"": -2098570}"
tie_break_sensitivity,shadow-burnin-v3-r50-tsv2-logging-only-target60-stop60-exit-replay-maxwait66000-r1,exact_levels_only,cost100_sum_pnl_bps,,-44700.0,,INFO,"{""avg_pnl_bps"": -67.41573033707866, ""cost100_sum_pnl_bps"": -44700, ""cost200_sum_pnl_bps"": -71400, ""evaluated_rows"": 267, ""max_consecutive_losses_cost100"": 7, ""median_pnl_bps"": -6000.0, ""negative_timeout_rate"": 0.0, ""stop_count"": 135, ""stop_rate"": 0.5056179775280899, ""sum_pnl_bps"": -18000, ""target_count"": 132, ""target_rate"": 0.4943820224719101, ""timeout_count"": 0, ""timeout_rate"": 0.0, ""top10_removed_sum_cost100"": -127300, ""top5_removed_sum_cost100"": -86000}"
tie_break_sensitivity,shadow-burnin-v3-r51-rce-logging-only-target12-stop6-maxwait45000-r1,stop_first_on_equal_timestamp,cost100_sum_pnl_bps,,-447062.0,,INFO,"{""avg_pnl_bps"": -130.56317689530687, ""cost100_sum_pnl_bps"": -447062, ""cost200_sum_pnl_bps"": -640962, ""evaluated_rows"": 1939, ""max_consecutive_losses_cost100"": 47, ""median_pnl_bps"": -110.0, ""negative_timeout_rate"": 0.9434628975265018, ""stop_count"": 608, ""stop_rate"": 0.31356369262506445, ""sum_pnl_bps"": -253162, ""target_count"": 199, ""target_rate"": 0.10263022176379577, ""timeout_count"": 1132, ""timeout_rate"": 0.5838060856111398, ""top10_removed_sum_cost100"": -474562, ""top5_removed_sum_cost100"": -461362}"
tie_break_sensitivity,shadow-burnin-v3-r51-rce-logging-only-target12-stop6-maxwait45000-r1,target_first_on_equal_timestamp,cost100_sum_pnl_bps,,-447062.0,,INFO,"{""avg_pnl_bps"": -130.56317689530687, ""cost100_sum_pnl_bps"": -447062, ""cost200_sum_pnl_bps"": -640962, ""evaluated_rows"": 1939, ""max_consecutive_losses_cost100"": 47, ""median_pnl_bps"": -110.0, ""negative_timeout_rate"": 0.9434628975265018, ""stop_count"": 608, ""stop_rate"": 0.31356369262506445, ""sum_pnl_bps"": -253162, ""target_count"": 199, ""target_rate"": 0.10263022176379577, ""timeout_count"": 1132, ""timeout_rate"": 0.5838060856111398, ""top10_removed_sum_cost100"": -474562, ""top5_removed_sum_cost100"": -461362}"
tie_break_sensitivity,shadow-burnin-v3-r51-rce-logging-only-target12-stop6-maxwait45000-r1,ambiguous_tie_excluded,cost100_sum_pnl_bps,,-447062.0,,INFO,"{""avg_pnl_bps"": -130.56317689530687, ""cost100_sum_pnl_bps"": -447062, ""cost200_sum_pnl_bps"": -640962, ""evaluated_rows"": 1939, ""max_consecutive_losses_cost100"": 47, ""median_pnl_bps"": -110.0, ""negative_timeout_rate"": 0.9434628975265018, ""stop_count"": 608, ""stop_rate"": 0.31356369262506445, ""sum_pnl_bps"": -253162, ""target_count"": 199, ""target_rate"": 0.10263022176379577, ""timeout_count"": 1132, ""timeout_rate"": 0.5838060856111398, ""top10_removed_sum_cost100"": -474562, ""top5_removed_sum_cost100"": -461362}"
tie_break_sensitivity,shadow-burnin-v3-r51-rce-logging-only-target12-stop6-maxwait45000-r1,path_approx_fallback_only,cost100_sum_pnl_bps,,-447062.0,,INFO,"{""avg_pnl_bps"": -130.56317689530687, ""cost100_sum_pnl_bps"": -447062, ""cost200_sum_pnl_bps"": -640962, ""evaluated_rows"": 1939, ""max_consecutive_losses_cost100"": 47, ""median_pnl_bps"": -110.0, ""negative_timeout_rate"": 0.9434628975265018, ""stop_count"": 608, ""stop_rate"": 0.31356369262506445, ""sum_pnl_bps"": -253162, ""target_count"": 199, ""target_rate"": 0.10263022176379577, ""timeout_count"": 1132, ""timeout_rate"": 0.5838060856111398, ""top10_removed_sum_cost100"": -474562, ""top5_removed_sum_cost100"": -461362}"
tie_break_sensitivity,shadow-burnin-v3-r51-rce-logging-only-target12-stop6-maxwait45000-r1,exact_levels_only,cost100_sum_pnl_bps,,-215926.0,,INFO,"{""avg_pnl_bps"": -136.24288840262582, ""cost100_sum_pnl_bps"": -215926, ""cost200_sum_pnl_bps"": -307326, ""evaluated_rows"": 914, ""max_consecutive_losses_cost100"": 23, ""median_pnl_bps"": -600.0, ""negative_timeout_rate"": 0.7009345794392523, ""stop_count"": 608, ""stop_rate"": 0.6652078774617067, ""sum_pnl_bps"": -124526, ""target_count"": 199, ""target_rate"": 0.21772428884026257, ""timeout_count"": 107, ""timeout_rate"": 0.11706783369803063, ""top10_removed_sum_cost100"": -241226, ""top5_removed_sum_cost100"": -229126}"
csv_internal_consistency,reports/selector/shadow-burnin-v3-r49-r48-target60-stop60-exit-replay-timestop-v2-maxwait66000-r1/time_stop_v2_mask_summary_a2.csv,M0_ALL,cost100_avg_equals_sum_over_count,-396.42881213142374,-396.42881213142374,0.0,PASS,
csv_internal_consistency,reports/selector/shadow-burnin-v3-r49-r48-target60-stop60-exit-replay-timestop-v2-maxwait66000-r1/time_stop_v2_mask_summary_a2.csv,M0_ALL,cost100_exit_action_precision,0.6010498687664042,0.6010498687664042,0.0,PASS,
csv_internal_consistency,reports/selector/shadow-burnin-v3-r49-r48-target60-stop60-exit-replay-timestop-v2-maxwait66000-r1/time_stop_v2_mask_summary_a2.csv,M0_ALL,cost100_exit_action_precision_wilson95_lower,0.5723686459361212,0.5723686459361212,0.0,PASS,
csv_internal_consistency,reports/selector/shadow-burnin-v3-r49-r48-target60-stop60-exit-replay-timestop-v2-maxwait66000-r1/time_stop_v2_mask_summary_a2.csv,M0_ALL,cost100_avg_equals_sum_over_count,-438.1695450716091,-438.1695450716091,0.0,PASS,
