scope,anchor,mask_name,target_bps,stop_bps,max_hold_ms,guard_name,early_horizon_ms,segment,supported_rows,unsupported_rows,action_taken_count,no_action_count,baseline_target_count,baseline_stop_count,baseline_timeout_count,baseline_sum_after_cost_bps,baseline_avg_after_cost_bps,baseline_median_after_cost_bps,tsv2_sum_after_cost_bps,tsv2_avg_after_cost_bps,tsv2_median_after_cost_bps,delta_sum_bps,delta_avg_bps,delta_median_bps,action_delta_avg_bps,action_delta_median_bps,beneficial_exit_count,harmful_exit_count,neutral_exit_count,exit_action_precision,exit_action_precision_denominator,exit_action_precision_wilson95_lower,saved_stop_count,saved_stop_damage_bps,target_cut_count,target_cut_damage_bps,timeout_improved_count,timeout_improved_bps,generic_beneficial_count,generic_beneficial_bps,gross_saved_damage_bps,harmful_damage_bps,target_cut_damage_ratio,target_cut_damage_guard_pass,target_cut_count_guard_pass,target_cut_count_guard_limit,stale_no_action_exclusions,no_candidate_exclusions,not_active_exit_eligible_exclusions,candidate_after_baseline_exclusions,candidate_after_max_hold_exclusions,ambiguous_unjoined_exclusions,lifecycle_without_exit_replay_exclusions,exact_rows,path_approx_rows,baseline_unavailable_rows,max_consecutive_harmful_actions,classification_counts,exclusion_counts,segment_target_cut_damage_guard_pass
shadow-burnin-v3-r49-r48-target60-stop60-exit-replay-timestop-v2-maxwait66000-r1,M7_CLASS_RESTRICTED / 10000 / -6000 / 60000,M7_CLASS_RESTRICTED,10000,-6000,60000,G5_DELAYED_DECISION_8000,45000,train,1583,0,1536,47,13,36,1534,-591572,-373.70309538850285,-202.0,-517640,-326.9993682880606,-202.0,73932,46.7037271004422,0.0,48.1328125,0.0,345,222,969,0.6084656084656085,567,0.567689109864413,22,109098,7,52278,323,301405,0,0,410503,336571,0.12735107904205328,True,True,54.300000000000004,7,26,0,0,3,0,0,1583,0,0,3,"{""cut_target"": 7, ""harmful_exit"": 215, ""neutral_exit"": 969, ""no_active_exit"": 47, ""saved_stop"": 22, ""timeout_improved"": 323}","{""candidate_after_max_hold"": 3, ""mask_excluded_candidate_class"": 4, ""no_candidate"": 26, ""none"": 1536, ""rtp_delay_after_baseline_or_hold"": 7, ""stale_data_no_action"": 7}",True
shadow-burnin-v3-r49-r48-target60-stop60-exit-replay-timestop-v2-maxwait66000-r1,M7_CLASS_RESTRICTED / 10000 / -6000 / 60000,M7_CLASS_RESTRICTED,10000,-6000,60000,G5_DELAYED_DECISION_8000,45000,validation,1583,0,1512,71,18,47,1518,-482451,-304.77005685407454,-202.0,-472491,-298.47820593809223,-202.0,9960,6.291850915982312,0.0,6.587301587301587,0.0,339,204,969,0.6243093922651933,543,0.5828354950566277,17,56384,10,73197,322,296154,0,0,352538,342578,0.20762868116344904,True,True,49.2,1,51,0,2,7,0,0,1583,0,0,3,"{""cut_target"": 10, ""harmful_exit"": 194, ""neutral_exit"": 969, ""no_active_exit"": 71, ""saved_stop"": 17, ""timeout_improved"": 322}","{""candidate_after_baseline_exit"": 2, ""candidate_after_max_hold"": 7, ""mask_excluded_candidate_class"": 2, ""no_candidate"": 51, ""none"": 1512, ""rtp_delay_after_baseline_or_hold"": 8, ""stale_data_no_action"": 1}",False
shadow-burnin-v3-r49-r48-target60-stop60-exit-replay-timestop-v2-maxwait66000-r1,M7_CLASS_RESTRICTED / 10000 / -6000 / 60000,M7_CLASS_RESTRICTED,10000,-6000,60000,G5_DELAYED_DECISION_8000,45000,holdout,1582,0,1530,52,15,29,1538,-493145,-311.72250316055624,-202.0,-517628,-327.1984829329962,-202.0,-24483,-15.475979772439949,0.0,-16.001960784313727,0.0,296,152,1082,0.6607142857142857,448,0.6156704752779859,13,32030,7,52939,283,215441,0,0,247471,271954,0.21392001487042928,True,True,41.3,7,33,0,0,6,0,0,1582,0,0,2,"{""cut_target"": 7, ""harmful_exit"": 145, ""neutral_exit"": 1082, ""no_active_exit"": 52, ""saved_stop"": 13, ""timeout_improved"": 283}","{""candidate_after_max_hold"": 6, ""mask_excluded_candidate_class"": 1, ""no_candidate"": 33, ""none"": 1530, ""rtp_delay_after_baseline_or_hold"": 5, ""stale_data_no_action"": 7}",False
shadow-burnin-v3-r50-tsv2-logging-only-target60-stop60-exit-replay-maxwait66000-r1,M0_ALL / 6000 / -6000 / 120000,M0_ALL,6000,-6000,120000,G0_NONE,10000,train,1219,0,1172,47,49,56,1114,-645194,-529.2813781788351,-208.0,-483935,-396.99343724364235,-202.0,161259,132.28794093519278,0.0,137.5930034129693,0.0,405,133,634,0.7527881040892194,538,0.7146286319912575,30,155482,32,196750,375,330695,0,0,486177,324918,0.4046880045744657,False,True,67.5,3,42,1,1,0,0,0,1219,0,0,4,"{""cut_target"": 32, ""harmful_exit"": 101, ""neutral_exit"": 634, ""no_active_exit"": 47, ""saved_stop"": 30, ""timeout_improved"": 375}","{""candidate_after_baseline_exit"": 1, ""no_candidate"": 42, ""none"": 1172, ""not_active_exit_eligible"": 1, ""stale_data_no_action"": 3}",False
shadow-burnin-v3-r50-tsv2-logging-only-target60-stop60-exit-replay-maxwait66000-r1,M0_ALL / 6000 / -6000 / 120000,M0_ALL,6000,-6000,120000,G0_NONE,10000,validation,1219,0,1191,28,47,47,1125,-654115,-536.5996718621822,-208.0,-487578,-399.9819524200164,-202.0,166537,136.6177194421657,0.0,139.82955499580186,0.0,423,159,609,0.7268041237113402,582,0.6892032003050363,33,144260,38,224055,390,389552,0,0,533812,367275,0.41972642053756753,False,True,72.0,5,21,0,2,0,0,0,1219,0,0,4,"{""cut_target"": 38, ""harmful_exit"": 121, ""neutral_exit"": 609, ""no_active_exit"": 28, ""saved_stop"": 33, ""timeout_improved"": 390}","{""candidate_after_baseline_exit"": 2, ""no_candidate"": 21, ""none"": 1191, ""stale_data_no_action"": 5}",False
shadow-burnin-v3-r50-tsv2-logging-only-target60-stop60-exit-replay-maxwait66000-r1,M0_ALL / 6000 / -6000 / 120000,M0_ALL,6000,-6000,120000,G0_NONE,10000,holdout,1218,0,1194,24,36,32,1150,-693061,-569.0155993431855,-208.0,-449269,-368.85796387520526,-202.0,243792,200.1576354679803,0.0,204.18090452261308,0.0,494,126,574,0.7967741935483871,620,0.7633171022361747,24,108979,27,157014,470,404969,0,0,513948,270156,0.3055056153540825,False,True,71.0,5,17,2,0,0,0,0,1218,0,0,3,"{""cut_target"": 27, ""harmful_exit"": 99, ""neutral_exit"": 574, ""no_active_exit"": 24, ""saved_stop"": 24, ""timeout_improved"": 470}","{""no_candidate"": 17, ""none"": 1194, ""not_active_exit_eligible"": 2, ""stale_data_no_action"": 5}",False
shadow-burnin-v3-r50-tsv2-logging-only-target60-stop60-exit-replay-maxwait66000-r1,M0_ALL / 6000 / -6000 / 120000,M0_ALL,6000,-6000,120000,G0_NONE,20000,train,1219,0,1172,47,49,56,1114,-645194,-529.2813781788351,-208.0,-483935,-396.99343724364235,-202.0,161259,132.28794093519278,0.0,137.5930034129693,0.0,405,133,634,0.7527881040892194,538,0.7146286319912575,30,155482,32,196750,375,330695,0,0,486177,324918,0.4046880045744657,False,True,67.5,3,42,1,1,0,0,0,1219,0,0,4,"{""cut_target"": 32, ""harmful_exit"": 101, ""neutral_exit"": 634, ""no_active_exit"": 47, ""saved_stop"": 30, ""timeout_improved"": 375}","{""candidate_after_baseline_exit"": 1, ""no_candidate"": 42, ""none"": 1172, ""not_active_exit_eligible"": 1, ""stale_data_no_action"": 3}",False
shadow-burnin-v3-r50-tsv2-logging-only-target60-stop60-exit-replay-maxwait66000-r1,M0_ALL / 6000 / -6000 / 120000,M0_ALL,6000,-6000,120000,G0_NONE,20000,validation,1219,0,1191,28,47,47,1125,-654115,-536.5996718621822,-208.0,-487578,-399.9819524200164,-202.0,166537,136.6177194421657,0.0,139.82955499580186,0.0,423,159,609,0.7268041237113402,582,0.6892032003050363,33,144260,38,224055,390,389552,0,0,533812,367275,0.41972642053756753,False,True,72.0,5,21,0,2,0,0,0,1219,0,0,4,"{""cut_target"": 38, ""harmful_exit"": 121, ""neutral_exit"": 609, ""no_active_exit"": 28, ""saved_stop"": 33, ""timeout_improved"": 390}","{""candidate_after_baseline_exit"": 2, ""no_candidate"": 21, ""none"": 1191, ""stale_data_no_action"": 5}",False
shadow-burnin-v3-r50-tsv2-logging-only-target60-stop60-exit-replay-maxwait66000-r1,M0_ALL / 6000 / -6000 / 120000,M0_ALL,6000,-6000,120000,G0_NONE,20000,holdout,1218,0,1194,24,36,32,1150,-693061,-569.0155993431855,-208.0,-449269,-368.85796387520526,-202.0,243792,200.1576354679803,0.0,204.18090452261308,0.0,494,126,574,0.7967741935483871,620,0.7633171022361747,24,108979,27,157014,470,404969,0,0,513948,270156,0.3055056153540825,False,True,71.0,5,17,2,0,0,0,0,1218,0,0,3,"{""cut_target"": 27, ""harmful_exit"": 99, ""neutral_exit"": 574, ""no_active_exit"": 24, ""saved_stop"": 24, ""timeout_improved"": 470}","{""no_candidate"": 17, ""none"": 1194, ""not_active_exit_eligible"": 2, ""stale_data_no_action"": 5}",False
shadow-burnin-v3-r50-tsv2-logging-only-target60-stop60-exit-replay-maxwait66000-r1,M0_ALL / 6000 / -6000 / 120000,M0_ALL,6000,-6000,120000,G0_NONE,30000,train,1219,0,1172,47,49,56,1114,-645194,-529.2813781788351,-208.0,-483935,-396.99343724364235,-202.0,161259,132.28794093519278,0.0,137.5930034129693,0.0,405,133,634,0.7527881040892194,538,0.7146286319912575,30,155482,32,196750,375,330695,0,0,486177,324918,0.4046880045744657,False,True,67.5,3,42,1,1,0,0,0,1219,0,0,4,"{""cut_target"": 32, ""harmful_exit"": 101, ""neutral_exit"": 634, ""no_active_exit"": 47, ""saved_stop"": 30, ""timeout_improved"": 375}","{""candidate_after_baseline_exit"": 1, ""no_candidate"": 42, ""none"": 1172, ""not_active_exit_eligible"": 1, ""stale_data_no_action"": 3}",False
