scope,classifier,target_bps,stop_bps,max_hold_ms,roundtrip_cost_bps,retained_count,sum_pnl_after_cost_bps,avg_pnl_after_cost_bps,median_pnl_after_cost_bps,nonloss_count,precision,wilson_lower95,max_consecutive_losses
shadow-burnin-v3-r50-tsv2-logging-only-target60-stop60-exit-replay-maxwait66000-r1,R0_BROAD,1500,-300,40000,100,3633,-580906,-159.8970547756675,-202.0,265,0.07294247178640242,0.06493011092987214,85
shadow-burnin-v3-r50-tsv2-logging-only-target60-stop60-exit-replay-maxwait66000-r1,R0_BROAD,1500,-300,40000,200,3633,-944206,-259.89705477566747,-302.0,257,0.07074043490228461,0.06284877021793786,85
shadow-burnin-v3-r50-tsv2-logging-only-target60-stop60-exit-replay-maxwait66000-r1,R0_BROAD,1500,-500,20000,100,3633,-689878,-189.8921001926782,-202.0,282,0.07762180016515277,0.06936025050628747,85
shadow-burnin-v3-r50-tsv2-logging-only-target60-stop60-exit-replay-maxwait66000-r1,R0_BROAD,1500,-500,20000,200,3633,-1053178,-289.89210019267824,-302.0,266,0.07321772639691715,0.06519043715340592,85
shadow-burnin-v3-r50-tsv2-logging-only-target60-stop60-exit-replay-maxwait66000-r1,R0_BROAD,1500,-500,30000,100,3633,-698693,-192.31846958436554,-202.0,285,0.07844756399669695,0.07014302163611333,85
shadow-burnin-v3-r50-tsv2-logging-only-target60-stop60-exit-replay-maxwait66000-r1,R0_BROAD,1500,-500,30000,200,3633,-1061993,-292.3184695843655,-302.0,271,0.07459399944949077,0.06649258435721962,85
shadow-burnin-v3-r50-tsv2-logging-only-target60-stop60-exit-replay-maxwait66000-r1,R0_BROAD,1500,-500,40000,100,3633,-699831,-192.6317093311313,-202.0,292,0.08037434627030003,0.07197058366428648,85
shadow-burnin-v3-r50-tsv2-logging-only-target60-stop60-exit-replay-maxwait66000-r1,R0_BROAD,1500,-500,40000,200,3633,-1063131,-292.6317093311313,-302.0,283,0.0778970547756675,0.06962114244858646,85
shadow-burnin-v3-r50-tsv2-logging-only-target60-stop60-exit-replay-maxwait66000-r1,R0_BROAD,1500,-700,20000,100,3633,-784758,-216.00825763831543,-202.0,295,0.0812001101018442,0.07275428473420342,85
shadow-burnin-v3-r50-tsv2-logging-only-target60-stop60-exit-replay-maxwait66000-r1,R0_BROAD,1500,-700,20000,200,3633,-1148058,-316.00825763831546,-302.0,279,0.07679603633360858,0.06857776714349463,85
