scope,classifier,target_bps,stop_bps,max_hold_ms,roundtrip_cost_bps,top_positive_fraction_removed,retained_count_before_tail_removal,removed_count,removed_sum_bps,sum_pnl_after_tail_removal_bps,avg_pnl_after_tail_removal_bps,median_pnl_after_tail_removal_bps,tail_dependency_flag
shadow-burnin-v3-r50-tsv2-logging-only-target60-stop60-exit-replay-maxwait66000-r1,R0_BROAD,1500,-500,20000,100,0.1,3633,282,275208,-965086,-287.99940316323483,-202.0,True
shadow-burnin-v3-r50-tsv2-logging-only-target60-stop60-exit-replay-maxwait66000-r1,R0_BROAD,1500,-500,30000,100,0.05,3633,182,252258,-950951,-275.5580991017097,-202.0,True
shadow-burnin-v3-r50-tsv2-logging-only-target60-stop60-exit-replay-maxwait66000-r1,R0_BROAD,1500,-500,30000,100,0.1,3633,285,300524,-999217,-298.4519115890084,-202.0,True
shadow-burnin-v3-r50-tsv2-logging-only-target60-stop60-exit-replay-maxwait66000-r1,R0_BROAD,1500,-500,40000,100,0.05,3633,182,254800,-954631,-276.6244566792234,-202.0,True
shadow-burnin-v3-r50-tsv2-logging-only-target60-stop60-exit-replay-maxwait66000-r1,R0_BROAD,1500,-500,40000,100,0.1,3633,292,321743,-1021574,-305.7689314576474,-203.0,True
shadow-burnin-v3-r50-tsv2-logging-only-target60-stop60-exit-replay-maxwait66000-r1,R0_BROAD,1500,-700,20000,100,0.05,3633,182,242836,-1027594,-297.76702405099974,-202.0,True
shadow-burnin-v3-r50-tsv2-logging-only-target60-stop60-exit-replay-maxwait66000-r1,R0_BROAD,1500,-700,20000,100,0.1,3633,295,285832,-1070590,-320.72798082684244,-202.0,True
shadow-burnin-v3-r50-tsv2-logging-only-target60-stop60-exit-replay-maxwait66000-r1,R0_BROAD,1500,-700,30000,100,0.05,3633,182,254473,-1050966,-304.5395537525355,-202.0,True
shadow-burnin-v3-r50-tsv2-logging-only-target60-stop60-exit-replay-maxwait66000-r1,R0_BROAD,1500,-700,30000,100,0.1,3633,304,317873,-1114366,-334.7449684589967,-202.0,True
shadow-burnin-v3-r50-tsv2-logging-only-target60-stop60-exit-replay-maxwait66000-r1,R0_BROAD,1500,-700,40000,100,0.05,3633,182,254800,-1057500,-306.43291799478413,-202.0,True
shadow-burnin-v3-r50-tsv2-logging-only-target60-stop60-exit-replay-maxwait66000-r1,R0_BROAD,1500,-700,40000,100,0.1,3633,312,345037,-1147737,-345.59981933152665,-202.0,True
shadow-burnin-v3-r50-tsv2-logging-only-target60-stop60-exit-replay-maxwait66000-r1,R0_BROAD,1500,-1000,20000,100,0.05,3633,182,245840,-1143827,-331.44798609098814,-202.0,True
shadow-burnin-v3-r50-tsv2-logging-only-target60-stop60-exit-replay-maxwait66000-r1,R0_BROAD,1500,-1000,20000,100,0.1,3633,309,297507,-1195494,-359.6552346570397,-202.0,True
shadow-burnin-v3-r50-tsv2-logging-only-target60-stop60-exit-replay-maxwait66000-r1,R0_BROAD,1500,-1000,30000,100,0.05,3633,182,254800,-1176853,-341.01796580701244,-202.0,True
shadow-burnin-v3-r50-tsv2-logging-only-target60-stop60-exit-replay-maxwait66000-r1,R0_BROAD,1500,-1000,30000,100,0.1,3633,319,334880,-1256933,-379.2797223898612,-202.0,True
shadow-burnin-v3-r50-tsv2-logging-only-target60-stop60-exit-replay-maxwait66000-r1,R0_BROAD,1500,-1000,40000,100,0.05,3633,182,254800,-1189496,-344.6815415821501,-202.0,True
shadow-burnin-v3-r50-tsv2-logging-only-target60-stop60-exit-replay-maxwait66000-r1,R0_BROAD,1500,-1000,40000,100,0.1,3633,332,366213,-1300909,-394.0954256285974,-202.0,True
shadow-burnin-v3-r50-tsv2-logging-only-target60-stop60-exit-replay-maxwait66000-r1,R0_BROAD,2000,-300,20000,100,0.05,3633,182,270042,-824603,-238.9461025789626,-202.0,True
shadow-burnin-v3-r50-tsv2-logging-only-target60-stop60-exit-replay-maxwait66000-r1,R0_BROAD,2000,-300,20000,100,0.1,3633,255,290303,-844864,-250.1077560686797,-202.0,True
shadow-burnin-v3-r50-tsv2-logging-only-target60-stop60-exit-replay-maxwait66000-r1,R0_BROAD,2000,-300,30000,100,0.05,3633,182,293247,-851270,-246.6734279918864,-202.0,True
shadow-burnin-v3-r50-tsv2-logging-only-target60-stop60-exit-replay-maxwait66000-r1,R0_BROAD,2000,-300,30000,100,0.1,3633,243,311371,-869394,-256.458407079646,-202.0,True
shadow-burnin-v3-r50-tsv2-logging-only-target60-stop60-exit-replay-maxwait66000-r1,R0_BROAD,2000,-300,40000,100,0.05,3633,182,306981,-867444,-251.36018545349174,-203.0,True
shadow-burnin-v3-r50-tsv2-logging-only-target60-stop60-exit-replay-maxwait66000-r1,R0_BROAD,2000,-300,40000,100,0.1,3633,241,324048,-884511,-260.7638561320755,-204.0,True
shadow-burnin-v3-r50-tsv2-logging-only-target60-stop60-exit-replay-maxwait66000-r1,R0_BROAD,2000,-500,20000,100,0.05,3633,182,276625,-942905,-273.2266009852217,-202.0,True
