scope,classifier,target_bps,stop_bps,max_hold_ms,segment,retained_count,precision_cost100,wilson_lower95_cost100,cost100_sum_pnl_bps,cost100_avg_pnl_bps,cost100_median_pnl_bps,cost200_sum_pnl_bps,cost200_avg_pnl_bps,cost200_median_pnl_bps,target_rate,stop_rate,timeout_rate,negative_timeout_rate,max_consecutive_losses_cost100
shadow-burnin-v3-r50-tsv2-logging-only-target60-stop60-exit-replay-maxwait66000-r1,R0_BROAD,1000,-300,20000,train,1211,0.07101568951279934,0.057865217721383165,-208762,-172.38810900082575,-202.0,-329862,-272.38810900082575,-302.0,0.05037159372419488,0.16432700247729148,0.7853014037985137,0.7580511973575558,59
shadow-burnin-v3-r50-tsv2-logging-only-target60-stop60-exit-replay-maxwait66000-r1,R0_BROAD,1000,-300,20000,validation,1211,0.08670520231213873,0.07213420657153433,-203952,-168.41618497109826,-202.0,-325052,-268.4161849710983,-302.0,0.0611065235342692,0.22047894302229562,0.7184145334434352,0.6812551610239471,63
shadow-burnin-v3-r50-tsv2-logging-only-target60-stop60-exit-replay-maxwait66000-r1,R0_BROAD,1000,-300,20000,holdout,1211,0.07431874483897605,0.06085430868839517,-217587,-179.67547481420314,-202.0,-338687,-279.67547481420314,-302.0,0.04376548307184145,0.20891824938067713,0.7473162675474814,0.70355078447564,48
shadow-burnin-v3-r50-tsv2-logging-only-target60-stop60-exit-replay-maxwait66000-r1,R0_BROAD,1000,-300,30000,train,1211,0.07762180016515277,0.06385177264019104,-201986,-166.7927332782824,-202.0,-323086,-266.7927332782824,-302.0,0.061932287365813375,0.1833195706028076,0.7547481420313791,0.7341040462427746,52
shadow-burnin-v3-r50-tsv2-logging-only-target60-stop60-exit-replay-maxwait66000-r1,R0_BROAD,1000,-300,30000,validation,1211,0.08670520231213873,0.07213420657153433,-206790,-170.75970272502065,-202.0,-327890,-270.75970272502065,-302.0,0.06771263418662263,0.24525185796862098,0.6870355078447564,0.6581337737407101,66
shadow-burnin-v3-r50-tsv2-logging-only-target60-stop60-exit-replay-maxwait66000-r1,R0_BROAD,1000,-300,30000,holdout,1211,0.06936416184971098,0.05637397754180501,-224266,-185.1907514450867,-202.0,-345366,-285.19075144508673,-302.0,0.0495458298926507,0.2320396366639141,0.7184145334434352,0.6878612716763006,83
shadow-burnin-v3-r50-tsv2-logging-only-target60-stop60-exit-replay-maxwait66000-r1,R0_BROAD,1000,-300,40000,train,1211,0.07844756399669695,0.0646023893621868,-201519,-166.40710156895128,-202.0,-322619,-266.4071015689513,-302.0,0.06936416184971098,0.19322873658133774,0.7374071015689513,0.7233691164327003,52
shadow-burnin-v3-r50-tsv2-logging-only-target60-stop60-exit-replay-maxwait66000-r1,R0_BROAD,1000,-300,40000,validation,1211,0.09248554913294797,0.0774321099069659,-202537,-167.24772914946325,-202.0,-323637,-267.2477291494632,-302.0,0.0726672171758877,0.25681255161023947,0.6705202312138728,0.6416184971098265,66
shadow-burnin-v3-r50-tsv2-logging-only-target60-stop60-exit-replay-maxwait66000-r1,R0_BROAD,1000,-300,40000,holdout,1211,0.07597027250206441,0.06235202534594069,-220568,-182.13707679603633,-202.0,-341668,-282.13707679603635,-302.0,0.05615194054500413,0.24690338563170933,0.6969446738232865,0.6672171758876961,77
shadow-burnin-v3-r50-tsv2-logging-only-target60-stop60-exit-replay-maxwait66000-r1,R0_BROAD,1000,-500,20000,train,1211,0.07184145334434351,0.05861167715251853,-242664,-200.3831544178365,-202.0,-363764,-300.3831544178365,-302.0,0.05119735755573906,0.14037985136251033,0.8084227910817506,0.7803468208092486,59
shadow-burnin-v3-r50-tsv2-logging-only-target60-stop60-exit-replay-maxwait66000-r1,R0_BROAD,1000,-500,20000,validation,1211,0.0916597853014038,0.07667405997990749,-246773,-203.77621800165153,-202.0,-367873,-303.7762180016515,-302.0,0.06358381502890173,0.1907514450867052,0.7456647398843931,0.7060280759702725,63
shadow-burnin-v3-r50-tsv2-logging-only-target60-stop60-exit-replay-maxwait66000-r1,R0_BROAD,1000,-500,20000,holdout,1211,0.08257638315441784,0.06836262755195366,-251130,-207.3740710156895,-202.0,-372230,-307.37407101568954,-302.0,0.04706853839801817,0.17671345995045418,0.7762180016515277,0.726672171758877,48
shadow-burnin-v3-r50-tsv2-logging-only-target60-stop60-exit-replay-maxwait66000-r1,R0_BROAD,1000,-500,30000,train,1211,0.08009909165978531,0.06610507377745177,-237932,-196.47563996696945,-202.0,-359032,-296.4756399669694,-302.0,0.06275805119735756,0.15359207266721717,0.7836498761354252,0.7597027250206441,52
shadow-burnin-v3-r50-tsv2-logging-only-target60-stop60-exit-replay-maxwait66000-r1,R0_BROAD,1000,-500,30000,validation,1211,0.09413707679603633,0.07894937316722159,-251799,-207.92650701899257,-202.0,-372899,-307.9265070189926,-302.0,0.07184145334434351,0.2097440132122213,0.7184145334434352,0.6862097440132122,66
shadow-burnin-v3-r50-tsv2-logging-only-target60-stop60-exit-replay-maxwait66000-r1,R0_BROAD,1000,-500,30000,holdout,1211,0.08009909165978531,0.06610507377745177,-260524,-215.1312964492155,-202.0,-381624,-315.13129644921554,-302.0,0.05532617671345995,0.1981833195706028,0.7464905037159373,0.7109826589595376,59
shadow-burnin-v3-r50-tsv2-logging-only-target60-stop60-exit-replay-maxwait66000-r1,R0_BROAD,1000,-500,40000,train,1211,0.08175061932287365,0.06760964797590915,-238456,-196.9083402146986,-202.0,-359556,-296.90834021469857,-302.0,0.07101568951279934,0.16432700247729148,0.7646573080099092,0.7473162675474814,52
shadow-burnin-v3-r50-tsv2-logging-only-target60-stop60-exit-replay-maxwait66000-r1,R0_BROAD,1000,-500,40000,validation,1211,0.10074318744838975,0.08503329643453869,-247830,-204.64905037159372,-202.0,-368930,-304.6490503715937,-302.0,0.07762180016515277,0.21965317919075145,0.7027250206440958,0.6705202312138728,66
shadow-burnin-v3-r50-tsv2-logging-only-target60-stop60-exit-replay-maxwait66000-r1,R0_BROAD,1000,-500,40000,holdout,1211,0.08670520231213873,0.07213420657153433,-258094,-213.12469033856317,-202.0,-379194,-313.1246903385632,-302.0,0.06440957886044592,0.21222130470685385,0.7233691164327003,0.6903385631709331,77
shadow-burnin-v3-r50-tsv2-logging-only-target60-stop60-exit-replay-maxwait66000-r1,R0_BROAD,1000,-700,20000,train,1211,0.07431874483897605,0.06085430868839517,-270053,-223.0,-202.0,-391153,-323.0,-302.0,0.05284888521882741,0.1147811725846408,0.8323699421965318,0.8034682080924855,59
shadow-burnin-v3-r50-tsv2-logging-only-target60-stop60-exit-replay-maxwait66000-r1,R0_BROAD,1000,-700,20000,validation,1211,0.09661436829066887,0.08122810919843602,-282850,-233.56729975227086,-202.0,-403950,-333.56729975227086,-302.0,0.06523534269199009,0.15111478117258464,0.7836498761354252,0.740710156895128,50
shadow-burnin-v3-r50-tsv2-logging-only-target60-stop60-exit-replay-maxwait66000-r1,R0_BROAD,1000,-700,20000,holdout,1211,0.08587943848059455,0.07137901940503262,-282830,-233.55078447563997,-202.0,-403930,-333.55078447563994,-302.0,0.04872006606110652,0.1453344343517754,0.805945499587118,0.7547481420313791,48
shadow-burnin-v3-r50-tsv2-logging-only-target60-stop60-exit-replay-maxwait66000-r1,R0_BROAD,1000,-700,30000,train,1211,0.08587943848059455,0.07137901940503262,-263153,-217.30222956234516,-202.0,-384253,-317.3022295623452,-302.0,0.06688687035507845,0.1255161023947151,0.8075970272502064,0.781998348472337,51
shadow-burnin-v3-r50-tsv2-logging-only-target60-stop60-exit-replay-maxwait66000-r1,R0_BROAD,1000,-700,30000,validation,1211,0.10074318744838975,0.08503329643453869,-288684,-238.38480594549958,-202.0,-409784,-338.3848059454996,-302.0,0.07514450867052024,0.17093311312964493,0.7539223781998349,0.717588769611891,66
shadow-burnin-v3-r50-tsv2-logging-only-target60-stop60-exit-replay-maxwait66000-r1,R0_BROAD,1000,-700,30000,holdout,1211,0.08422791081750619,0.0698699406525906,-296904,-245.17258464079273,-202.0,-418004,-345.1725846407927,-302.0,0.057803468208092484,0.16680429397192403,0.7753922378199835,0.7374071015689513,48
shadow-burnin-v3-r50-tsv2-logging-only-target60-stop60-exit-replay-maxwait66000-r1,R0_BROAD,1000,-700,40000,train,1211,0.0875309661436829,0.07288981822350803,-265223,-219.01156069364163,-202.0,-386323,-319.0115606936416,-302.0,0.07679603633360858,0.13625103220478943,0.786952931461602,0.7696118909991743,51
shadow-burnin-v3-r50-tsv2-logging-only-target60-stop60-exit-replay-maxwait66000-r1,R0_BROAD,1000,-700,40000,validation,1211,0.10652353426919901,0.09037505991190155,-288001,-237.82080924855492,-202.0,-409101,-337.8208092485549,-302.0,0.08092485549132948,0.18249380677126342,0.7365813377374071,0.7018992568125516,66
shadow-burnin-v3-r50-tsv2-logging-only-target60-stop60-exit-replay-maxwait66000-r1,R0_BROAD,1000,-700,40000,holdout,1211,0.0916597853014038,0.07667405997990749,-294991,-243.59289843104872,-202.0,-416091,-343.5928984310487,-302.0,0.0685383980181668,0.18084227910817507,0.7506193228736582,0.7159372419488026,77
shadow-burnin-v3-r50-tsv2-logging-only-target60-stop60-exit-replay-maxwait66000-r1,R0_BROAD,1000,-1000,20000,train,1211,0.07762180016515277,0.06385177264019104,-301366,-248.85714285714286,-202.0,-422466,-348.85714285714283,-302.0,0.054500412881915775,0.10074318744838975,0.8447563996696945,0.8142031379025598,59
shadow-burnin-v3-r50-tsv2-logging-only-target60-stop60-exit-replay-maxwait66000-r1,R0_BROAD,1000,-1000,20000,validation,1211,0.10074318744838975,0.08503329643453869,-324990,-268.36498761354255,-202.0,-446090,-368.36498761354255,-302.0,0.06688687035507845,0.13129644921552436,0.8018166804293972,0.7563996696944674,50
shadow-burnin-v3-r50-tsv2-logging-only-target60-stop60-exit-replay-maxwait66000-r1,R0_BROAD,1000,-1000,20000,holdout,1211,0.08835672997522709,0.0736458489895035,-325780,-269.01734104046244,-202.0,-446880,-369.01734104046244,-302.0,0.05037159372419488,0.13129644921552436,0.8183319570602807,0.7663088356729976,48
shadow-burnin-v3-r50-tsv2-logging-only-target60-stop60-exit-replay-maxwait66000-r1,R0_BROAD,1000,-1000,30000,train,1211,0.09000825763831544,0.07515914698758513,-295793,-244.25516102394715,-202.0,-416893,-344.25516102394715,-302.0,0.07018992568125516,0.10817506193228736,0.8216350123864574,0.7952105697770437,51
shadow-burnin-v3-r50-tsv2-logging-only-target60-stop60-exit-replay-maxwait66000-r1,R0_BROAD,1000,-1000,30000,validation,1211,0.10487200660611065,0.08884717603465121,-335745,-277.24607762180017,-202.0,-456845,-377.24607762180017,-302.0,0.07762180016515277,0.15028901734104047,0.7720891824938068,0.7341040462427746,66
shadow-burnin-v3-r50-tsv2-logging-only-target60-stop60-exit-replay-maxwait66000-r1,R0_BROAD,1000,-1000,30000,holdout,1211,0.08670520231213873,0.07213420657153433,-346052,-285.757225433526,-202.0,-467152,-385.757225433526,-302.0,0.06028075970272502,0.1486374896779521,0.7910817506193228,0.7530966143682907,48
shadow-burnin-v3-r50-tsv2-logging-only-target60-stop60-exit-replay-maxwait66000-r1,R0_BROAD,1000,-1000,40000,train,1211,0.09248554913294797,0.0774321099069659,-298223,-246.2617671345995,-202.0,-419323,-346.2617671345995,-302.0,0.08092485549132948,0.11395540875309662,0.8051197357555739,0.786952931461602,51
shadow-burnin-v3-r50-tsv2-logging-only-target60-stop60-exit-replay-maxwait66000-r1,R0_BROAD,1000,-1000,40000,validation,1211,0.11230388109000826,0.09573266022412574,-336050,-277.49793559042115,-202.0,-457150,-377.49793559042115,-302.0,0.08505367464905036,0.16267547481420314,0.7522708505367465,0.7159372419488026,66
shadow-burnin-v3-r50-tsv2-logging-only-target60-stop60-exit-replay-maxwait66000-r1,R0_BROAD,1000,-1000,40000,holdout,1211,0.09413707679603633,0.07894937316722159,-349244,-288.39306358381504,-202.0,-470344,-388.39306358381504,-302.0,0.07101568951279934,0.16184971098265896,0.7671345995045417,0.731626754748142,77
shadow-burnin-v3-r50-tsv2-logging-only-target60-stop60-exit-replay-maxwait66000-r1,R0_BROAD,1500,-300,20000,train,1211,0.06606110652353427,0.053398472976369,-192611,-159.05119735755574,-202.0,-313711,-259.05119735755574,-302.0,0.037159372419488024,0.1676300578034682,0.7952105697770437,0.7580511973575558,80
shadow-burnin-v3-r50-tsv2-logging-only-target60-stop60-exit-replay-maxwait66000-r1,R0_BROAD,1500,-300,20000,validation,1211,0.08340214698596202,0.06911606046082723,-180253,-148.8464079273328,-202.0,-301353,-248.8464079273328,-302.0,0.04706853839801817,0.22378199834847234,0.7291494632535095,0.6812551610239471,63
shadow-burnin-v3-r50-tsv2-logging-only-target60-stop60-exit-replay-maxwait66000-r1,R0_BROAD,1500,-300,20000,holdout,1211,0.06936416184971098,0.05637397754180501,-206823,-170.7869529314616,-202.0,-327923,-270.7869529314616,-302.0,0.027250206440957887,0.2138728323699422,0.7588769611890999,0.70355078447564,48
shadow-burnin-v3-r50-tsv2-logging-only-target60-stop60-exit-replay-maxwait66000-r1,R0_BROAD,1500,-300,30000,train,1211,0.07101568951279934,0.057865217721383165,-184219,-152.121387283237,-202.0,-305319,-252.121387283237,-302.0,0.04459124690338563,0.18909991742361684,0.7663088356729976,0.7349298100743188,80
shadow-burnin-v3-r50-tsv2-logging-only-target60-stop60-exit-replay-maxwait66000-r1,R0_BROAD,1500,-300,30000,validation,1211,0.08175061932287365,0.06760964797590915,-182575,-150.76383154417837,-202.0,-303675,-250.76383154417837,-302.0,0.053674649050371594,0.250206440957886,0.6961189099917423,0.6581337737407101,66
shadow-burnin-v3-r50-tsv2-logging-only-target60-stop60-exit-replay-maxwait66000-r1,R0_BROAD,1500,-300,30000,holdout,1211,0.06275805119735756,0.05043280933847261,-213548,-176.3402146985962,-202.0,-334648,-276.3402146985962,-302.0,0.033856317093311314,0.23864574731626756,0.7274979355904211,0.6878612716763006,88
shadow-burnin-v3-r50-tsv2-logging-only-target60-stop60-exit-replay-maxwait66000-r1,R0_BROAD,1500,-300,40000,train,1211,0.06606110652353427,0.053398472976369,-191058,-157.76878612716763,-202.0,-312158,-257.76878612716763,-302.0,0.0495458298926507,0.20478943022295623,0.7456647398843931,0.7233691164327003,80
shadow-burnin-v3-r50-tsv2-logging-only-target60-stop60-exit-replay-maxwait66000-r1,R0_BROAD,1500,-300,40000,validation,1211,0.08505367464905036,0.07062426222227225,-180062,-148.68868703550785,-203.0,-301162,-248.68868703550785,-303.0,0.057803468208092484,0.26424442609413706,0.6779521056977704,0.6416184971098265,66
shadow-burnin-v3-r50-tsv2-logging-only-target60-stop60-exit-replay-maxwait66000-r1,R0_BROAD,1500,-300,40000,holdout,1211,0.06771263418662263,0.054885036844010304,-209786,-173.233691164327,-202.0,-330886,-273.233691164327,-302.0,0.03963666391412056,0.2543352601156069,0.7060280759702725,0.6680429397192403,77
shadow-burnin-v3-r50-tsv2-logging-only-target60-stop60-exit-replay-maxwait66000-r1,R0_BROAD,1500,-500,20000,train,1211,0.06688687035507845,0.054141452791000425,-226813,-187.29397192402973,-202.0,-347913,-287.29397192402973,-302.0,0.037985136251032205,0.14368290668868702,0.8183319570602807,0.7803468208092486,80
shadow-burnin-v3-r50-tsv2-logging-only-target60-stop60-exit-replay-maxwait66000-r1,R0_BROAD,1500,-500,20000,validation,1211,0.08835672997522709,0.0736458489895035,-223499,-184.5573905862923,-202.0,-344599,-284.55739058629234,-302.0,0.04789430222956235,0.19405450041288191,0.7580511973575558,0.7060280759702725,63
shadow-burnin-v3-r50-tsv2-logging-only-target60-stop60-exit-replay-maxwait66000-r1,R0_BROAD,1500,-500,20000,holdout,1211,0.07762180016515277,0.06385177264019104,-239566,-197.82493806771262,-202.0,-360666,-297.82493806771265,-302.0,0.0305532617671346,0.18166804293971925,0.7877786952931461,0.726672171758877,48
shadow-burnin-v3-r50-tsv2-logging-only-target60-stop60-exit-replay-maxwait66000-r1,R0_BROAD,1500,-500,30000,train,1211,0.07349298100743187,0.060106231012301344,-221065,-182.5474814203138,-202.0,-342165,-282.5474814203138,-302.0,0.04541701073492981,0.1593724194880264,0.7952105697770437,0.7605284888521883,64
shadow-burnin-v3-r50-tsv2-logging-only-target60-stop60-exit-replay-maxwait66000-r1,R0_BROAD,1500,-500,30000,validation,1211,0.08918249380677126,0.07440229362081692,-227881,-188.1758876961189,-202.0,-348981,-288.17588769611893,-302.0,0.05615194054500413,0.2138728323699422,0.7299752270850537,0.6870355078447564,66
shadow-burnin-v3-r50-tsv2-logging-only-target60-stop60-exit-replay-maxwait66000-r1,R0_BROAD,1500,-500,30000,holdout,1211,0.0726672171758877,0.05935868441374413,-249747,-206.23203963666393,-202.0,-370847,-306.2320396366639,-302.0,0.038810900082576386,0.20478943022295623,0.7563996696944674,0.7118084227910817,63
shadow-burnin-v3-r50-tsv2-logging-only-target60-stop60-exit-replay-maxwait66000-r1,R0_BROAD,1500,-500,40000,train,1211,0.06936416184971098,0.05637397754180501,-230170,-190.06606110652353,-202.0,-351270,-290.06606110652353,-302.0,0.05037159372419488,0.17588769611891,0.7737407101568952,0.7473162675474814,64
shadow-burnin-v3-r50-tsv2-logging-only-target60-stop60-exit-replay-maxwait66000-r1,R0_BROAD,1500,-500,40000,validation,1211,0.09331131296449216,0.07819054916572014,-224781,-185.61601981833195,-202.0,-345881,-285.61601981833195,-302.0,0.0611065235342692,0.22625928984310487,0.7126341866226259,0.671345995045417,66
shadow-burnin-v3-r50-tsv2-logging-only-target60-stop60-exit-replay-maxwait66000-r1,R0_BROAD,1500,-500,40000,holdout,1211,0.07844756399669695,0.0646023893621868,-244880,-202.2130470685384,-202.0,-365980,-302.2130470685384,-302.0,0.04706853839801817,0.21965317919075145,0.7332782824112304,0.6911643270024773,77
shadow-burnin-v3-r50-tsv2-logging-only-target60-stop60-exit-replay-maxwait66000-r1,R0_BROAD,1500,-700,20000,train,1211,0.06936416184971098,0.05637397754180501,-254002,-209.7456647398844,-202.0,-375102,-309.7456647398844,-302.0,0.03963666391412056,0.1180842279108175,0.8422791081750619,0.8034682080924855,80
shadow-burnin-v3-r50-tsv2-logging-only-target60-stop60-exit-replay-maxwait66000-r1,R0_BROAD,1500,-700,20000,validation,1211,0.09331131296449216,0.07819054916572014,-259290,-214.11230388109,-202.0,-380390,-314.11230388109,-302.0,0.04872006606110652,0.15359207266721717,0.7976878612716763,0.7415359207266722,50
shadow-burnin-v3-r50-tsv2-logging-only-target60-stop60-exit-replay-maxwait66000-r1,R0_BROAD,1500,-700,20000,holdout,1211,0.08092485549132948,0.06685712793265393,-271466,-224.16680429397192,-202.0,-392566,-324.16680429397195,-302.0,0.03220478943022296,0.15028901734104047,0.8175061932287366,0.7547481420313791,48
shadow-burnin-v3-r50-tsv2-logging-only-target60-stop60-exit-replay-maxwait66000-r1,R0_BROAD,1500,-700,30000,train,1211,0.07927332782824112,0.06535349202639522,-245401,-202.6432700247729,-202.0,-366501,-302.6432700247729,-302.0,0.04872006606110652,0.13129644921552436,0.8199834847233691,0.782824112303881,56
shadow-burnin-v3-r50-tsv2-logging-only-target60-stop60-exit-replay-maxwait66000-r1,R0_BROAD,1500,-700,30000,validation,1211,0.0957886044591247,0.0804681575321484,-263075,-217.2378199834847,-202.0,-384175,-317.2378199834847,-302.0,0.058629232039636665,0.17423616845582163,0.7671345995045417,0.7184145334434352,66
shadow-burnin-v3-r50-tsv2-logging-only-target60-stop60-exit-replay-maxwait66000-r1,R0_BROAD,1500,-700,30000,holdout,1211,0.07597027250206441,0.06235202534594069,-288017,-237.8340214698596,-202.0,-409117,-337.83402146985964,-302.0,0.04046242774566474,0.17341040462427745,0.7861271676300579,0.7390586292320397,49
shadow-burnin-v3-r50-tsv2-logging-only-target60-stop60-exit-replay-maxwait66000-r1,R0_BROAD,1500,-700,40000,train,1211,0.07514450867052024,0.061602909406307166,-257071,-212.27993393889346,-202.0,-378171,-312.27993393889346,-302.0,0.053674649050371594,0.14781172584640792,0.7985136251032204,0.7696118909991743,56
shadow-burnin-v3-r50-tsv2-logging-only-target60-stop60-exit-replay-maxwait66000-r1,R0_BROAD,1500,-700,40000,validation,1211,0.09991742361684558,0.0842715484659229,-262352,-216.6407927332783,-202.0,-383452,-316.64079273327826,-302.0,0.06523534269199009,0.18827415359207267,0.7464905037159373,0.7027250206440958,66
shadow-burnin-v3-r50-tsv2-logging-only-target60-stop60-exit-replay-maxwait66000-r1,R0_BROAD,1500,-700,40000,holdout,1211,0.08257638315441784,0.06836262755195366,-283277,-233.91990090834022,-202.0,-404377,-333.9199009083402,-302.0,0.05037159372419488,0.18909991742361684,0.7605284888521883,0.7167630057803468,77
shadow-burnin-v3-r50-tsv2-logging-only-target60-stop60-exit-replay-maxwait66000-r1,R0_BROAD,1500,-1000,20000,train,1211,0.07349298100743187,0.060106231012301344,-283369,-233.99587118084227,-202.0,-404469,-333.9958711808423,-302.0,0.04128819157720892,0.10322047894302229,0.8554913294797688,0.8142031379025598,73
shadow-burnin-v3-r50-tsv2-logging-only-target60-stop60-exit-replay-maxwait66000-r1,R0_BROAD,1500,-1000,20000,validation,1211,0.09744013212221304,0.08198842820764117,-301649,-249.09083402146985,-202.0,-422749,-349.09083402146985,-302.0,0.0495458298926507,0.1337737407101569,0.8166804293971924,0.7572254335260116,50
shadow-burnin-v3-r50-tsv2-logging-only-target60-stop60-exit-replay-maxwait66000-r1,R0_BROAD,1500,-1000,20000,holdout,1211,0.08422791081750619,0.0698699406525906,-312969,-258.43848059454996,-202.0,-434069,-358.43848059454996,-302.0,0.033856317093311314,0.1337737407101569,0.8323699421965318,0.7679603633360859,48
shadow-burnin-v3-r50-tsv2-logging-only-target60-stop60-exit-replay-maxwait66000-r1,R0_BROAD,1500,-1000,30000,train,1211,0.08422791081750619,0.0698699406525906,-276370,-228.21635012386457,-202.0,-397470,-328.2163501238646,-302.0,0.05202312138728324,0.11312964492155243,0.8348472336911643,0.7960363336085879,56
shadow-burnin-v3-r50-tsv2-logging-only-target60-stop60-exit-replay-maxwait66000-r1,R0_BROAD,1500,-1000,30000,validation,1211,0.09991742361684558,0.0842715484659229,-309913,-255.91494632535094,-202.0,-431013,-355.91494632535097,-302.0,0.06028075970272502,0.15359207266721717,0.7861271676300579,0.7349298100743188,66
shadow-burnin-v3-r50-tsv2-logging-only-target60-stop60-exit-replay-maxwait66000-r1,R0_BROAD,1500,-1000,30000,holdout,1211,0.07927332782824112,0.06535349202639522,-335770,-277.2667217175888,-202.0,-456870,-377.2667217175888,-302.0,0.042939719240297276,0.15441783649876134,0.8026424442609413,0.7547481420313791,49
shadow-burnin-v3-r50-tsv2-logging-only-target60-stop60-exit-replay-maxwait66000-r1,R0_BROAD,1500,-1000,40000,train,1211,0.08092485549132948,0.06685712793265393,-290463,-239.8538398018167,-202.0,-411563,-339.85383980181666,-302.0,0.05697770437654831,0.12469033856317094,0.8183319570602807,0.786952931461602,56
shadow-burnin-v3-r50-tsv2-logging-only-target60-stop60-exit-replay-maxwait66000-r1,R0_BROAD,1500,-1000,40000,validation,1211,0.10734929810074319,0.09113948793243792,-307703,-254.09000825763832,-202.0,-428803,-354.0900082576383,-302.0,0.06936416184971098,0.16597853014037986,0.7646573080099092,0.717588769611891,66
shadow-burnin-v3-r50-tsv2-logging-only-target60-stop60-exit-replay-maxwait66000-r1,R0_BROAD,1500,-1000,40000,holdout,1211,0.08587943848059455,0.07137901940503262,-336530,-277.89430222956236,-202.0,-457630,-377.89430222956236,-302.0,0.053674649050371594,0.16928158546655656,0.7770437654830719,0.7324525185796862,77
shadow-burnin-v3-r50-tsv2-logging-only-target60-stop60-exit-replay-maxwait66000-r1,R0_BROAD,2000,-300,20000,train,1211,0.06440957886044592,0.051914368045497546,-181594,-149.95375722543352,-202.0,-302694,-249.95375722543352,-302.0,0.021469859620148638,0.16928158546655656,0.8092485549132948,0.7580511973575558,80
shadow-burnin-v3-r50-tsv2-logging-only-target60-stop60-exit-replay-maxwait66000-r1,R0_BROAD,2000,-300,20000,validation,1211,0.07762180016515277,0.06385177264019104,-173690,-143.42691990090833,-202.0,-294790,-243.42691990090833,-302.0,0.028075970272502065,0.22873658133773742,0.7431874483897605,0.6812551610239471,81
shadow-burnin-v3-r50-tsv2-logging-only-target60-stop60-exit-replay-maxwait66000-r1,R0_BROAD,2000,-300,20000,holdout,1211,0.0685383980181668,0.055629215030295304,-199277,-164.55573905862923,-202.0,-320377,-264.55573905862923,-302.0,0.016515276630883566,0.21469859620148637,0.7687861271676301,0.70355078447564,48
shadow-burnin-v3-r50-tsv2-logging-only-target60-stop60-exit-replay-maxwait66000-r1,R0_BROAD,2000,-300,30000,train,1211,0.06523534269199009,0.052656107815081815,-176726,-145.93393889347647,-202.0,-297826,-245.93393889347647,-302.0,0.03137902559867878,0.1948802642444261,0.7737407101568952,0.7349298100743188,80
