scope,classifier,target_bps,stop_bps,max_hold_ms,retained_count,retained_pct,selected_before_replay_eval_count,exact_join_rate,decision_rows,replay_rows,unjoined_replay_rows,target_rate,stop_rate,timeout_rate,negative_timeout_rate,avg_pnl_bps,median_pnl_bps,sum_pnl_bps,precision_cost100,wilson_lower95_cost100,cost100_sum_pnl_bps,cost100_avg_pnl_bps,cost100_median_pnl_bps,cost200_sum_pnl_bps,cost200_avg_pnl_bps,cost200_median_pnl_bps,max_consecutive_losses_cost100,mfe_median_bps,mae_median_bps,after_top5_positive_removed_cost100_sum_bps,after_top10_positive_removed_cost100_sum_bps,passes_single_scope_gates,passes_promising_gate,no_leakage_assertion,acceptance_failures
shadow-burnin-v3-r50-tsv2-logging-only-target60-stop60-exit-replay-maxwait66000-r1,R0_BROAD,1000,-1000,30000,3633,0.9937089715536105,3633,0.9937089715536105,13405,3656,23,0.06936416184971098,0.13570052298375998,0.794935315166529,0.760803743462703,-169.08615469309112,-102.0,-614290,0.09386182218552161,0.08480286950920642,-977590,-269.0861546930911,-202.0,-1340890,-369.0861546930911,-302.0,85,0.0,-112.0,-1141390,-1236712,False,False,True,precision_cost100_lt_65pct;cost100_sum_not_positive;cost200_sum_not_positive_for_promising;median_cost100_negative;median_cost200_negative_for_promising;top5_tail_removed_negative
shadow-burnin-v3-r50-tsv2-logging-only-target60-stop60-exit-replay-maxwait66000-r1,R0_BROAD,1000,-1000,40000,3633,0.9937089715536105,3633,0.9937089715536105,13405,3656,23,0.0789980732177264,0.14616019818331957,0.7748417285989541,0.7448389760528489,-170.7175887696119,-102.0,-620217,0.09964216900633086,0.09032133916382934,-983517,-270.7175887696119,-202.0,-1346817,-370.7175887696119,-302.0,85,0.0,-112.0,-1147317,-1270824,False,False,True,precision_cost100_lt_65pct;cost100_sum_not_positive;cost200_sum_not_positive_for_promising;median_cost100_negative;median_cost200_negative_for_promising;top5_tail_removed_negative
shadow-burnin-v3-r50-tsv2-logging-only-target60-stop60-exit-replay-maxwait66000-r1,R0_BROAD,1500,-300,20000,3633,0.9937089715536105,3633,0.9937089715536105,13405,3656,23,0.037159372419488024,0.20176162950729426,0.7610789980732178,0.7142857142857143,-59.56151940545004,-102.0,-216387,0.07294247178640242,0.06493011092987214,-579687,-159.56151940545004,-202.0,-942987,-259.56151940545004,-302.0,85,0.0,-112.0,-814289,-841176,False,False,True,precision_cost100_lt_65pct;cost100_sum_not_positive;cost200_sum_not_positive_for_promising;median_cost100_negative;median_cost200_negative_for_promising;top5_tail_removed_negative
shadow-burnin-v3-r50-tsv2-logging-only-target60-stop60-exit-replay-maxwait66000-r1,R0_BROAD,1500,-300,30000,3633,0.9937089715536105,3633,0.9937089715536105,13405,3656,23,0.04404073768235618,0.22598403523259014,0.7299752270850537,0.6936416184971098,-59.74181117533719,-102.0,-217042,0.07184145334434351,0.06388915608186663,-580342,-159.74181117533718,-202.0,-943642,-259.7418111753372,-302.0,88,0.0,-112.0,-828676,-862194,False,False,True,precision_cost100_lt_65pct;cost100_sum_not_positive;cost200_sum_not_positive_for_promising;median_cost100_negative;median_cost200_negative_for_promising;top5_tail_removed_negative
shadow-burnin-v3-r50-tsv2-logging-only-target60-stop60-exit-replay-maxwait66000-r1,R0_BROAD,1500,-300,40000,3633,0.9937089715536105,3633,0.9937089715536105,13405,3656,23,0.04899532067162125,0.24112303881090008,0.7098816405174787,0.6776768510872557,-59.89705477566749,-102.0,-217606,0.07294247178640242,0.06493011092987214,-580906,-159.8970547756675,-202.0,-944206,-259.89705477566747,-302.0,85,0.0,-112.0,-835282,-875648,False,False,True,precision_cost100_lt_65pct;cost100_sum_not_positive;cost200_sum_not_positive_for_promising;median_cost100_negative;median_cost200_negative_for_promising;top5_tail_removed_negative
shadow-burnin-v3-r50-tsv2-logging-only-target60-stop60-exit-replay-maxwait66000-r1,R0_BROAD,1500,-500,20000,3633,0.9937089715536105,3633,0.9937089715536105,13405,3656,23,0.038810900082576386,0.17313515001376273,0.7880539499036608,0.737682356179466,-89.89210019267823,-102.0,-326578,0.07762180016515277,0.06936025050628747,-689878,-189.8921001926782,-202.0,-1053178,-289.89210019267824,-302.0,85,0.0,-112.0,-929291,-965086,False,False,True,precision_cost100_lt_65pct;cost100_sum_not_positive;cost200_sum_not_positive_for_promising;median_cost100_negative;median_cost200_negative_for_promising;top5_tail_removed_negative
shadow-burnin-v3-r50-tsv2-logging-only-target60-stop60-exit-replay-maxwait66000-r1,R0_BROAD,1500,-500,30000,3633,0.9937089715536105,3633,0.9937089715536105,13405,3656,23,0.04679328378750344,0.1926782273603083,0.7605284888521883,0.7197908064960088,-92.31846958436554,-102.0,-335393,0.07844756399669695,0.07014302163611333,-698693,-192.31846958436554,-202.0,-1061993,-292.3184695843655,-302.0,85,0.0,-112.0,-950951,-999217,False,False,True,precision_cost100_lt_65pct;cost100_sum_not_positive;cost200_sum_not_positive_for_promising;median_cost100_negative;median_cost200_negative_for_promising;top5_tail_removed_negative
shadow-burnin-v3-r50-tsv2-logging-only-target60-stop60-exit-replay-maxwait66000-r1,R0_BROAD,1500,-500,40000,3633,0.9937089715536105,3633,0.9937089715536105,13405,3656,23,0.05284888521882741,0.20726672171758878,0.7398843930635838,0.7032755298651252,-92.63170933113129,-102.0,-336531,0.08037434627030003,0.07197058366428648,-699831,-192.6317093311313,-202.0,-1063131,-292.6317093311313,-302.0,85,0.0,-112.0,-954631,-1021574,False,False,True,precision_cost100_lt_65pct;cost100_sum_not_positive;cost200_sum_not_positive_for_promising;median_cost100_negative;median_cost200_negative_for_promising;top5_tail_removed_negative
shadow-burnin-v3-r50-tsv2-logging-only-target60-stop60-exit-replay-maxwait66000-r1,R0_BROAD,1500,-700,20000,3633,0.9937089715536105,3633,0.9937089715536105,13405,3656,23,0.040187173135150016,0.14065510597302505,0.8191577208918249,0.7665840902835123,-116.00825763831544,-102.0,-421458,0.0812001101018442,0.07275428473420342,-784758,-216.00825763831543,-202.0,-1148058,-316.00825763831546,-302.0,85,0.0,-112.0,-1027594,-1070590,False,False,True,precision_cost100_lt_65pct;cost100_sum_not_positive;cost200_sum_not_positive_for_promising;median_cost100_negative;median_cost200_negative_for_promising;top5_tail_removed_negative
shadow-burnin-v3-r50-tsv2-logging-only-target60-stop60-exit-replay-maxwait66000-r1,R0_BROAD,1500,-700,30000,3633,0.9937089715536105,3633,0.9937089715536105,13405,3656,23,0.04927057528213598,0.15964767409854114,0.7910817506193228,0.746765758326452,-119.23837049270576,-102.0,-433193,0.08367740159647674,0.07510699675238856,-796493,-219.23837049270574,-202.0,-1159793,-319.23837049270577,-302.0,85,0.0,-112.0,-1050966,-1114366,False,False,True,precision_cost100_lt_65pct;cost100_sum_not_positive;cost200_sum_not_positive_for_promising;median_cost100_negative;median_cost200_negative_for_promising;top5_tail_removed_negative
