scope,horizon_ms,replay_rows,supported_rows,coverage_pct,status,avg_pnl_bps,median_pnl_bps,sum_pnl_bps,notes
shadow-burnin-v3-r48-r38-repeat-threshold-probe-target60-stop60-exit-replay-r2,1000,4341,4317,0.9944713199723566,EVALUABLE,-7.305999536715311,0.0,-31540,
shadow-burnin-v3-r48-r38-repeat-threshold-probe-target60-stop60-exit-replay-r2,2000,4341,4317,0.9944713199723566,EVALUABLE,-27.81422283993514,0.0,-120074,
shadow-burnin-v3-r48-r38-repeat-threshold-probe-target60-stop60-exit-replay-r2,3000,4341,4317,0.9944713199723566,EVALUABLE,-41.56034283066945,0.0,-179416,
shadow-burnin-v3-r48-r38-repeat-threshold-probe-target60-stop60-exit-replay-r2,5000,4341,4317,0.9944713199723566,EVALUABLE,-94.96108408617096,0.0,-409947,
shadow-burnin-v3-r48-r38-repeat-threshold-probe-target60-stop60-exit-replay-r2,10000,4341,4316,0.9942409583045381,EVALUABLE,-396.2833642261353,-102.0,-1710359,
shadow-burnin-v3-r48-r38-repeat-threshold-probe-target60-stop60-exit-replay-r2,20000,4341,4315,0.9940105966367196,EVALUABLE,-453.520741599073,-102.0,-1956942,
shadow-burnin-v3-r48-r38-repeat-threshold-probe-target60-stop60-exit-replay-r2,30000,4341,4315,0.9940105966367196,EVALUABLE,-525.920741599073,-108.0,-2269348,
shadow-burnin-v3-r48-r38-repeat-threshold-probe-target60-stop60-exit-replay-r2,60000,4341,4309,0.9926284266298088,EVALUABLE,-715.330703179392,-151.0,-3082360,
shadow-burnin-v3-r48-r38-repeat-threshold-probe-target60-stop60-exit-replay-r2,120000,4341,7,0.001612531674729325,NOT_EVALUABLE,738.5714285714286,-184.0,5170,coverage_below_80pct_marked_not_evaluable
shadow-burnin-v3-r48-r38-repeat-threshold-probe-target60-stop60-exit-replay-r2,300000,4341,0,0.0,NOT_EVALUABLE,0.0,0.0,0,coverage_below_80pct_marked_not_evaluable
shadow-burnin-v3-r48-r38-repeat-threshold-probe-target60-stop60-exit-replay-r2,500000,4341,0,0.0,NOT_EVALUABLE,0.0,0.0,0,coverage_below_80pct_marked_not_evaluable
shadow-burnin-v3-r49-r48-target60-stop60-exit-replay-timestop-v2-maxwait66000-r1,1000,4748,4734,0.9970513900589723,EVALUABLE,-5.921419518377693,0.0,-28032,
shadow-burnin-v3-r49-r48-target60-stop60-exit-replay-timestop-v2-maxwait66000-r1,2000,4748,4734,0.9970513900589723,EVALUABLE,-14.397127165188001,0.0,-68156,
shadow-burnin-v3-r49-r48-target60-stop60-exit-replay-timestop-v2-maxwait66000-r1,3000,4748,4734,0.9970513900589723,EVALUABLE,-22.75982256020279,0.0,-107745,
shadow-burnin-v3-r49-r48-target60-stop60-exit-replay-timestop-v2-maxwait66000-r1,5000,4748,4734,0.9970513900589723,EVALUABLE,-49.63033375580904,0.0,-234950,
shadow-burnin-v3-r49-r48-target60-stop60-exit-replay-timestop-v2-maxwait66000-r1,10000,4748,4734,0.9970513900589723,EVALUABLE,-199.5802703844529,-102.0,-944813,
shadow-burnin-v3-r49-r48-target60-stop60-exit-replay-timestop-v2-maxwait66000-r1,20000,4748,4732,0.9966301600673968,EVALUABLE,-221.13229078613693,-102.0,-1046398,
shadow-burnin-v3-r49-r48-target60-stop60-exit-replay-timestop-v2-maxwait66000-r1,30000,4748,4732,0.9966301600673968,EVALUABLE,-217.87404902789518,-102.0,-1030980,
shadow-burnin-v3-r49-r48-target60-stop60-exit-replay-timestop-v2-maxwait66000-r1,60000,4748,4731,0.9964195450716091,EVALUABLE,-212.6009300359332,-102.0,-1005815,
shadow-burnin-v3-r49-r48-target60-stop60-exit-replay-timestop-v2-maxwait66000-r1,120000,4748,9,0.0018955349620893007,NOT_EVALUABLE,-2371.222222222222,-111.0,-21341,coverage_below_80pct_marked_not_evaluable
shadow-burnin-v3-r49-r48-target60-stop60-exit-replay-timestop-v2-maxwait66000-r1,300000,4748,0,0.0,NOT_EVALUABLE,0.0,0.0,0,coverage_below_80pct_marked_not_evaluable
shadow-burnin-v3-r49-r48-target60-stop60-exit-replay-timestop-v2-maxwait66000-r1,500000,4748,0,0.0,NOT_EVALUABLE,0.0,0.0,0,coverage_below_80pct_marked_not_evaluable
shadow-burnin-v3-r50-tsv2-logging-only-target60-stop60-exit-replay-maxwait66000-r1,1000,3656,3643,0.9964442013129103,EVALUABLE,-4.00082349711776,0.0,-14575,
shadow-burnin-v3-r50-tsv2-logging-only-target60-stop60-exit-replay-maxwait66000-r1,2000,3656,3643,0.9964442013129103,EVALUABLE,-12.122152072467747,0.0,-44161,
shadow-burnin-v3-r50-tsv2-logging-only-target60-stop60-exit-replay-maxwait66000-r1,3000,3656,3643,0.9964442013129103,EVALUABLE,-25.26708756519352,0.0,-92048,
shadow-burnin-v3-r50-tsv2-logging-only-target60-stop60-exit-replay-maxwait66000-r1,5000,3656,3643,0.9964442013129103,EVALUABLE,-61.45155091957178,0.0,-223868,
shadow-burnin-v3-r50-tsv2-logging-only-target60-stop60-exit-replay-maxwait66000-r1,10000,3656,3643,0.9964442013129103,EVALUABLE,-244.4048860828987,-102.0,-890367,
shadow-burnin-v3-r50-tsv2-logging-only-target60-stop60-exit-replay-maxwait66000-r1,20000,3656,3643,0.9964442013129103,EVALUABLE,-277.67307164424926,-102.0,-1011563,
