metric,value,notes
exit_provenance_blocker_distribution,"{""BLOCKED_ORDERING_AMBIGUITY"": 129, ""FILL_EVENT_EVENT_ORDER_EXPLICIT_UNKNOWN_CHAIN_COMPONENT"": 129, ""FILL_EVENT_EVENT_ORDER_INTRA_SLOT_AMBIGUITY_REQUIRES_TIE_BREAK"": 129, ""FILL_EVENT_EVENT_ORDER_UNKNOWN_COMPONENTS=block_time|signature|transaction_index_or_unknown|instruction_index_or_unknown|inner_instruction_index_or_unknown|log_index_or_unknown"": 129, ""POOL_STATE_ACCOUNT_DATA_HASH_UNAVAILABLE_IN_RUNTIME"": 129, ""POOL_STATE_EVENT_ORDER_EXPLICIT_UNKNOWN_CHAIN_COMPONENT"": 129, ""POOL_STATE_EVENT_ORDER_INTRA_SLOT_AMBIGUITY_REQUIRES_TIE_BREAK"": 129, ""POOL_STATE_EVENT_ORDER_UNKNOWN_COMPONENTS=block_time|signature|transaction_index_or_unknown|instruction_index_or_unknown|inner_instruction_index_or_unknown|log_index_or_unknown"": 129}",json
exit_limitation_distribution,"{""BLOCKED_ORDERING_AMBIGUITY"": 129, ""EXECUTION_BOUNDARY_KIND=EXIT_BEFORE"": 129, ""FILL_EVENT_EVENT_ORDER_EXPLICIT_UNKNOWN_CHAIN_COMPONENT"": 129, ""FILL_EVENT_EVENT_ORDER_INTRA_SLOT_AMBIGUITY_REQUIRES_TIE_BREAK"": 129, ""FILL_EVENT_EVENT_ORDER_UNKNOWN_COMPONENTS=block_time|signature|transaction_index_or_unknown|instruction_index_or_unknown|inner_instruction_index_or_unknown|log_index_or_unknown"": 129, ""FILL_FORMULA_VERSION=shadow_v2_constant_product_price_v1"": 129, ""FILL_MODEL_STATIC_NOT_LIVE_CONFIRMED"": 129, ""L1_EXECUTION_LABEL_GRADE=DIAGNOSTIC_SIM"": 129, ""NO_LIVE_EXIT_TRANSACTION_OR_FAILED_TX_TELEMETRY"": 129, ""POOL_STATE_ACCOUNT_DATA_HASH_UNAVAILABLE_IN_RUNTIME"": 129, ""POOL_STATE_AFTER_IS_DETERMINISTIC_DERIVED_STATE_NOT_OBSERVED_ACCOUNT"": 129, ""POOL_STATE_EVENT_ORDER_EXPLICIT_UNKNOWN_CHAIN_COMPONENT"": 129, ""POOL_STATE_EVENT_ORDER_INTRA_SLOT_AMBIGUITY_REQUIRES_TIE_BREAK"": 129, ""POOL_STATE_EVENT_ORDER_UNKNOWN_COMPONENTS=block_time|signature|transaction_index_or_unknown|instruction_index_or_unknown|inner_instruction_index_or_unknown|log_index_or_unknown"": 129, ""QUOTE_FILL_DIVERGENCE_UNAVAILABLE_IN_L1"": 129, ""REALIZED_SLIPPAGE_BPS_UNAVAILABLE_IN_L1"": 129, ""SELL_FILL_POOL_PHASE=BondingCurve"": 129, ""SLIPPAGE_TOLERANCE_BPS_IS_CONFIGURED_NOT_REALIZED"": 129, ""STATIC_EXIT_FILL_DOES_NOT_ENABLE_ACTIVE_CLOSE"": 129}",json
entry_provenance_blocker_distribution,"{""BLOCKED_ORDERING_AMBIGUITY"": 129, ""FILL_EVENT_EVENT_ORDER_EXPLICIT_UNKNOWN_CHAIN_COMPONENT"": 129, ""FILL_EVENT_EVENT_ORDER_INTRA_SLOT_AMBIGUITY_REQUIRES_TIE_BREAK"": 129, ""FILL_EVENT_EVENT_ORDER_UNKNOWN_COMPONENTS=block_time|transaction_index_or_unknown|instruction_index_or_unknown|inner_instruction_index_or_unknown|log_index_or_unknown"": 129, ""POOL_STATE_ACCOUNT_DATA_HASH_UNAVAILABLE_IN_RUNTIME"": 129, ""POOL_STATE_EVENT_ORDER_EXPLICIT_UNKNOWN_CHAIN_COMPONENT"": 129, ""POOL_STATE_EVENT_ORDER_INTRA_SLOT_AMBIGUITY_REQUIRES_TIE_BREAK"": 129, ""POOL_STATE_EVENT_ORDER_UNKNOWN_COMPONENTS=block_time|transaction_index_or_unknown|instruction_index_or_unknown|inner_instruction_index_or_unknown|log_index_or_unknown"": 129}",json
sample_exit_fill_FILLED,"{""event_id"": ""shadow_v2_exit_fill:HVwanvJv9LScajPbEHFxcTpvHVbpqNd8JuTY7gxSckNv:FUiUiCoKM59SwdSrZvE6STvrh77JqjZwYnUMWMkapump:1783086252703:1783086278376:exit_filled"", ""fill_amount_sol"": 0.003322183, ""fill_amount_tokens"": 85020.512305, ""fill_price"": 3.907507623668629e-08, ""pool_state_before"": ""shadow_v2_pool_state_exit_before:HVwanvJv9LScajPbEHFxcTpvHVbpqNd8JuTY7gxSckNv:FUiUiCoKM59SwdSrZvE6STvrh77JqjZwYnUMWMkapump:1783086252703:1783086278376:exit_filled"", ""position_id"": ""HVwanvJv9LScajPbEHFxcTpvHVbpqNd8JuTY7gxSckNv:FUiUiCoKM59SwdSrZvE6STvrh77JqjZwYnUMWMkapump:1783086252703""}",json
sample_exit_fill_BLOCKED_BY_DATA,,
sample_complete_executable_roundtrip_position,,
sample_entry_exit_filled_without_terminal_executable_pnl,"{""entry_fill_event_id"": ""shadow_v2_entry_fill:HVwanvJv9LScajPbEHFxcTpvHVbpqNd8JuTY7gxSckNv:FUiUiCoKM59SwdSrZvE6STvrh77JqjZwYnUMWMkapump:1783086252703:1783086243911"", ""exit_fill_event_id"": ""shadow_v2_exit_fill:HVwanvJv9LScajPbEHFxcTpvHVbpqNd8JuTY7gxSckNv:FUiUiCoKM59SwdSrZvE6STvrh77JqjZwYnUMWMkapump:1783086252703:1783086278376:exit_filled"", ""position_id"": ""HVwanvJv9LScajPbEHFxcTpvHVbpqNd8JuTY7gxSckNv:FUiUiCoKM59SwdSrZvE6STvrh77JqjZwYnUMWMkapump:1783086252703"", ""terminal_event_id"": ""shadow_v2_terminal_truth:HVwanvJv9LScajPbEHFxcTpvHVbpqNd8JuTY7gxSckNv:FUiUiCoKM59SwdSrZvE6STvrh77JqjZwYnUMWMkapump:1783086252703:1783086278428:STOP""}",json
dedicated_exit_roundtrip_audit_script,MISSING; counters computed from canonical shadow_position_event_v2.jsonl and terminal truth rows,
diagnostic_exit_fill_proof,True,
complete_executable_roundtrip_proof,False,
research_grade,NOT_GRANTED,
live_equivalence,NOT_GRANTED,
runtime_approval,False,
shadow_close_only_approval,False,
active_close_approval,False,
strategy_research_unblocked,False,
edge_proven,False,
final_verdict,PR38_EXIT_L1_DIAGNOSTIC_BURNIN_PASS_ROUNDTRIP_BLOCKED,
