mask_name,target_bps,stop_bps,max_hold_ms,pass_r49,pass_r50,passing_both,absolute_profitable_both_cost100_200,r49_delta_sum_bps,r49_delta_avg_bps,r49_delta_median_bps,r49_action_precision,r49_wilson_lower,r49_target_cut_damage_ratio,r49_aggregate_target_cut_guard,r49_segment_target_cut_guard,r49_target_cut_count_guard,r49_public_row_verdict,r50_delta_sum_bps,r50_delta_avg_bps,r50_delta_median_bps,r50_action_precision,r50_wilson_lower,r50_target_cut_damage_ratio,r50_aggregate_target_cut_guard,r50_segment_target_cut_guard,r50_target_cut_count_guard,r50_public_row_verdict
M0_ALL,1000,-1500,120000,False,False,False,False,180837,38.08698399326032,0.0,0.7186400937866354,0.6968296116304286,0.6071960220273642,False,False,True,TARGET_CUT_RISK_UNRESOLVED / INCONCLUSIVE_RESEARCH,245307,67.09710065645514,0.0,0.7680115273775217,0.7450841466923478,0.4245388193441172,False,False,True,TARGET_CUT_RISK_UNRESOLVED / INCONCLUSIVE_RESEARCH
M0_ALL,1000,-1000,30000,False,False,False,False,42468,8.944397641112047,0.0,0.6214039125431531,0.5886874322839349,0.5446107263088651,False,False,True,TARGET_CUT_RISK_UNRESOLVED / INCONCLUSIVE_RESEARCH,65469,17.907275711159738,0.0,0.6865671641791045,0.6521817021072113,0.41400038782237736,False,False,True,TARGET_CUT_RISK_UNRESOLVED / INCONCLUSIVE_RESEARCH
M0_ALL,1000,-1000,60000,False,False,False,False,55217,11.629528222409435,0.0,0.6629213483146067,0.6362088200057935,0.6350531299582166,False,False,True,TARGET_CUT_RISK_UNRESOLVED / INCONCLUSIVE_RESEARCH,98343,26.899070021881837,0.0,0.7268475210477081,0.699360166399606,0.5054680945938796,False,False,True,TARGET_CUT_RISK_UNRESOLVED / INCONCLUSIVE_RESEARCH
M0_ALL,1000,-1000,120000,False,False,False,False,136254,28.697135636057286,0.0,0.7330429371499689,0.7108773860829171,0.6034791591847231,False,False,True,TARGET_CUT_RISK_UNRESOLVED / INCONCLUSIVE_RESEARCH,165053,45.145787746170676,0.0,0.7776085300837776,0.7543235248295019,0.4627173428444048,False,False,True,TARGET_CUT_RISK_UNRESOLVED / INCONCLUSIVE_RESEARCH
M0_ALL,1000,-700,30000,False,False,False,False,24307,5.119418702611626,0.0,0.6352657004830918,0.6019240775525684,0.5665629850710489,False,False,True,TARGET_CUT_RISK_UNRESOLVED / INCONCLUSIVE_RESEARCH,33473,9.155634573304157,0.0,0.6836158192090396,0.6484464760557149,0.49539423389874127,False,False,True,TARGET_CUT_RISK_UNRESOLVED / INCONCLUSIVE_RESEARCH
M0_ALL,1000,-700,60000,False,False,False,False,23266,4.90016849199663,0.0,0.6769358867610324,0.6499598096487658,0.6814550453802469,False,False,True,TARGET_CUT_RISK_UNRESOLVED / INCONCLUSIVE_RESEARCH,49532,13.548140043763675,0.0,0.7299128751210068,0.702021785458219,0.6064135219894286,False,False,True,TARGET_CUT_RISK_UNRESOLVED / INCONCLUSIVE_RESEARCH
M0_ALL,1000,-700,120000,False,False,False,False,90553,19.071819713563606,0.0,0.7456647398843931,0.723447186031816,0.6426215206782803,False,False,True,TARGET_CUT_RISK_UNRESOLVED / INCONCLUSIVE_RESEARCH,102204,27.955142231947484,0.0,0.7817896389324961,0.7582806432139189,0.5466254361825867,False,False,True,TARGET_CUT_RISK_UNRESOLVED / INCONCLUSIVE_RESEARCH
M0_ALL,1000,-500,30000,False,False,False,False,4813,1.0136899747262005,0.0,0.6469104665825978,0.613010835218845,0.6312007866395163,False,False,True,TARGET_CUT_RISK_UNRESOLVED / INCONCLUSIVE_RESEARCH,19830,5.423960612691466,0.0,0.7016248153618907,0.6661000122977402,0.5345088209406452,False,False,True,TARGET_CUT_RISK_UNRESOLVED / INCONCLUSIVE_RESEARCH
M0_ALL,1000,-500,60000,False,False,False,False,-8103,-1.7066133108677337,0.0,0.6862068965517242,0.6589258022653236,0.7671348562013958,False,False,True,TARGET_CUT_RISK_UNRESOLVED / INCONCLUSIVE_RESEARCH,25447,6.960339168490153,0.0,0.7469879518072289,0.7190753349819368,0.6707234277955191,False,False,True,TARGET_CUT_RISK_UNRESOLVED / INCONCLUSIVE_RESEARCH
M0_ALL,1000,-500,120000,False,False,False,False,39080,8.23083403538332,0.0,0.753315649867374,0.7309327394646964,0.7302356148378931,False,False,True,TARGET_CUT_RISK_UNRESOLVED / INCONCLUSIVE_RESEARCH,66158,18.095733041575492,0.0,0.7954729183508489,0.7720966921280021,0.5959236769730061,False,False,True,TARGET_CUT_RISK_UNRESOLVED / INCONCLUSIVE_RESEARCH
