target_bps\stop_bps,-100,-200,-300,-500,-700,-1000,-1500,-2000,-3000,-5000,-6000
100,0.010833333333333334,0.4241666666666667,0.4736111111111111,0.5116666666666667,0.5561111111111111,0.5997222222222223,0.6261111111111111,0.6494444444444445,0.6827777777777778,0.7311111111111112,0.745
200,0.012222222222222223,0.4280555555555556,0.4775,0.5155555555555555,0.5602777777777778,0.605,0.6325,0.6561111111111111,0.6911111111111111,0.7408333333333333,0.7547222222222222
300,0.014722222222222222,0.4330555555555556,0.4825,0.5208333333333334,0.5666666666666667,0.6116666666666667,0.6405555555555555,0.6647222222222222,0.7005555555555556,0.7519444444444444,0.7661111111111111
400,0.01972222222222222,0.43972222222222224,0.49,0.5288888888888889,0.5747222222222222,0.6202777777777778,0.6497222222222222,0.675,0.7111111111111111,0.7636111111111111,0.7777777777777778
500,0.0225,0.44305555555555554,0.4936111111111111,0.5325,0.5783333333333334,0.6241666666666666,0.6541666666666667,0.6794444444444444,0.7163888888888889,0.7688888888888888,0.7833333333333333
700,0.026944444444444444,0.45,0.5011111111111111,0.5405555555555556,0.5880555555555556,0.6355555555555555,0.6669444444444445,0.6944444444444444,0.7336111111111111,0.7869444444444444,0.8030555555555555
1000,0.03111111111111111,0.45555555555555555,0.5077777777777778,0.5475,0.5955555555555555,0.6436111111111111,0.6769444444444445,0.7063888888888888,0.7472222222222222,0.8027777777777778,0.8188888888888889
1500,0.035555555555555556,0.46305555555555555,0.5166666666666667,0.5566666666666666,0.6058333333333333,0.6552777777777777,0.6908333333333333,0.7225,0.7652777777777777,0.8238888888888889,0.8419444444444445
2000,0.04055555555555555,0.47194444444444444,0.5258333333333334,0.5666666666666667,0.6177777777777778,0.6691666666666667,0.7069444444444445,0.7413888888888889,0.7855555555555556,0.8469444444444445,0.8663888888888889
3000,0.04833333333333333,0.48138888888888887,0.5363888888888889,0.5786111111111111,0.6302777777777778,0.6844444444444444,0.7236111111111111,0.7586111111111111,0.8055555555555556,0.8711111111111111,0.8922222222222222
5000,0.059722222222222225,0.49527777777777776,0.5513888888888889,0.5961111111111111,0.6494444444444445,0.7052777777777778,0.7477777777777778,0.7844444444444445,0.8341666666666666,0.9025,0.9247222222222222
6000,0.06138888888888889,0.49777777777777776,0.5538888888888889,0.5994444444444444,0.6530555555555555,0.7094444444444444,0.7527777777777778,0.7897222222222222,0.8402777777777778,0.9086111111111111,0.9311111111111111
7500,0.06472222222222222,0.5013888888888889,0.5577777777777778,0.6038888888888889,0.6580555555555555,0.7152777777777778,0.7591666666666667,0.7969444444444445,0.8477777777777777,0.9166666666666666,0.9391666666666667
10000,0.06722222222222222,0.505,0.5616666666666666,0.6083333333333333,0.6627777777777778,0.7205555555555555,0.765,0.8036111111111112,0.855,0.9241666666666667,0.9469444444444445
