rank,tercile,stable,positive_sum_terciles,positive_avg_terciles,target_bps,stop_bps,max_hold_ms,eligible_count,excluded_count,target_count,stop_count,timeout_count,target_rate,stop_rate,timeout_rate,positive_timeout_count,negative_timeout_count,positive_timeout_rate,negative_timeout_rate,avg_pnl_bps,median_pnl_bps,sum_pnl_bps,p10_pnl_bps,p25_pnl_bps,p75_pnl_bps,p90_pnl_bps,min_pnl_bps,max_pnl_bps,positive_result_count,negative_result_count,win_rate,loss_rate,profit_factor,expected_gross_pnl_sol_at_0_25_sol,median_gross_pnl_sol_at_0_25_sol
6,early,True,3,3,7500,-100,40000,1200,0,13,1104,83,0.010833333333333334,0.92,0.06916666666666667,70,13,0.8433734939759037,0.1566265060240964,83.90166666666667,-100.0,100682,-100.0,-100.0,-100.0,-100.0,-100,7500,83,1117,0.06916666666666667,0.9308333333333333,1.9063591516329985,0.002097541666666667,-0.0025
6,middle,True,3,3,7500,-100,40000,1200,0,7,1133,60,0.005833333333333334,0.9441666666666667,0.05,47,13,0.7833333333333333,0.21666666666666667,23.278333333333332,-100.0,27934,-100.0,-100.0,-100.0,-100.0,-100,7500,54,1146,0.045,0.955,1.2445866788081499,0.0005819583333333333,-0.0025
6,late,True,3,3,7500,-100,40000,1200,0,10,1100,90,0.008333333333333333,0.9166666666666666,0.075,81,9,0.9,0.1,73.45583333333333,-100.0,88147,-100.0,-100.0,-100.0,-100.0,-100,7500,91,1109,0.07583333333333334,0.9241666666666667,1.7976670949993665,0.0018363958333333333,-0.0025
7,early,True,3,3,10000,-100,20000,1200,0,4,1069,127,0.0033333333333333335,0.8908333333333334,0.10583333333333333,102,25,0.8031496062992126,0.1968503937007874,63.40833333333333,-100.0,76090,-100.0,-100.0,-100.0,-54.49999999999932,-100,10000,106,1094,0.08833333333333333,0.9116666666666666,1.7038006530204508,0.0015852083333333332,-0.0025
7,middle,True,3,3,10000,-100,20000,1200,0,3,1099,98,0.0025,0.9158333333333334,0.08166666666666667,79,19,0.8061224489795918,0.19387755102040816,39.7625,-100.0,47715,-100.0,-100.0,-100.0,-100.0,-100,10000,82,1118,0.06833333333333333,0.9316666666666666,1.4290840092804087,0.0009940625000000002,-0.0025
7,late,True,3,3,10000,-100,20000,1200,0,3,1062,135,0.0025,0.885,0.1125,117,17,0.8666666666666667,0.1259259259259259,75.53583333333333,-100.0,90643,-100.0,-100.0,-100.0,0.20000000000027285,-100,10000,120,1079,0.1,0.8991666666666667,1.845290162543247,0.0018883958333333333,-0.0025
8,early,True,3,3,6000,-100,120000,1200,0,28,1133,39,0.023333333333333334,0.9441666666666667,0.0325,35,4,0.8974358974358975,0.10256410256410256,84.64583333333333,-100.0,101575,-100.0,-100.0,-100.0,-100.0,-100,6000,63,1137,0.0525,0.9475,1.8944689544641993,0.002116145833333333,-0.0025
8,middle,True,3,3,6000,-100,120000,1200,0,18,1159,23,0.015,0.9658333333333333,0.019166666666666665,18,5,0.782608695652174,0.21739130434782608,19.734166666666667,-100.0,23681,-100.0,-100.0,-100.0,-100.0,-100,6000,36,1164,0.03,0.97,1.2035831879024423,0.0004933541666666667,-0.0025
8,late,True,3,3,6000,-100,120000,1200,0,24,1137,39,0.02,0.9475,0.0325,36,3,0.9230769230769231,0.07692307692307693,73.655,-100.0,88386,-100.0,-100.0,-100.0,-100.0,-100,6000,60,1140,0.05,0.95,1.776071437979085,0.0018413750000000001,-0.0025
9,early,True,3,3,7500,-100,90000,1200,0,17,1134,49,0.014166666666666666,0.945,0.04083333333333333,44,5,0.8979591836734694,0.10204081632653061,83.85,-100.0,100620,-100.0,-100.0,-100.0,-100.0,-100,7500,61,1139,0.050833333333333335,0.9491666666666667,1.8849837726589092,0.00209625,-0.0025
