target_bps\stop_bps,-100,-200,-300,-500,-700,-1000,-1500,-2000,-3000,-5000,-6000
100,-61.360277777777775,-92.34694444444445,-119.02972222222222,-163.20083333333332,-199.1238888888889,-242.2175,-300.4013888888889,-344.27805555555557,-408.4525,-477.3988888888889,-489.29055555555556
200,-52.05722222222222,-82.79583333333333,-109.53416666666666,-153.67277777777778,-189.59333333333333,-232.67388888888888,-290.9688888888889,-334.37333333333333,-398.7413888888889,-467.6827777777778,-479.5466666666667
300,-43.67138888888889,-74.18527777777778,-100.92361111111111,-145.2675,-181.15944444444443,-224.1288888888889,-282.4166666666667,-325.79333333333335,-390.0711111111111,-458.9291666666667,-470.7652777777778
400,-35.778333333333336,-66.04333333333334,-92.7538888888889,-137.28805555555556,-173.18,-216.0113888888889,-274.18805555555554,-317.3980555555556,-381.5925,-450.3672222222222,-462.17555555555555
500,-28.960277777777776,-59.05555555555556,-85.79388888888889,-130.46694444444444,-166.47,-209.35888888888888,-267.7108333333333,-311.03194444444443,-375.3152777777778,-444.00666666666666,-455.7872222222222
700,-17.45388888888889,-47.37722222222222,-74.14333333333333,-119.07444444444444,-155.1825,-198.22972222222222,-256.9172222222222,-300.0938888888889,-364.5438888888889,-433.62416666666667,-445.4525
1000,-3.0302777777777776,-32.589444444444446,-59.21666666666667,-104.15944444444445,-140.0677777777778,-182.63444444444445,-241.21083333333334,-284.15777777777777,-348.7188888888889,-417.5138888888889,-429.25888888888886
1500,14.137222222222222,-14.88861111111111,-41.24777777777778,-86.09694444444445,-121.66722222222222,-164.2275,-221.79916666666668,-264.5177777777778,-328.8011111111111,-397.17944444444447,-408.88055555555553
2000,22.5375,-6.064444444444445,-32.173611111111114,-77.01083333333334,-112.41944444444445,-155.14111111111112,-212.435,-254.9663888888889,-318.97194444444443,-386.93361111111113,-398.6347222222222
3000,29.429166666666667,0.7161111111111111,-26.00722222222222,-71.06666666666666,-106.41972222222222,-148.56472222222223,-205.71972222222223,-248.39,-312.4036111111111,-379.8122222222222,-391.5133333333333
5000,37.048611111111114,8.674166666666666,-18.1325,-63.35861111111111,-98.84611111111111,-139.80194444444444,-196.1236111111111,-238.91222222222223,-303.8908333333333,-371.2552777777778,-382.9563888888889
6000,39.344166666666666,10.969722222222222,-15.836944444444445,-61.06305555555556,-96.55055555555556,-137.21722222222223,-193.11166666666668,-235.90027777777777,-300.87888888888887,-367.96555555555557,-379.6666666666667
7500,40.799166666666665,12.424722222222222,-14.381944444444445,-59.60805555555555,-95.09555555555555,-135.34555555555556,-190.82333333333332,-233.61194444444445,-298.59055555555557,-365.2605555555556,-376.96166666666664
10000,42.22694444444444,13.8525,-12.954166666666667,-58.180277777777775,-93.66777777777777,-133.22333333333333,-188.4777777777778,-231.26638888888888,-296.245,-362.22055555555556,-373.9216666666667
